,query,ground_truth,response
0,"The following given embeddings correspond to ""standing"": [[-42.171562, -38.577606], [-35.95818, -39.344147], [-8.279873, -33.03706], [-19.99876, -37.347275], [-19.402954, 28.543121], [-52.34581, 25.477982], [-34.4799, -38.524277], [-25.430544, -39.601], [-19.804579, -37.012623], [-23.492916, -35.50076]], and the following given embeddings correspond to ""stair up"": [[22.176355, -5.051969], [5.5091996, 0.9072939], [22.468227, 18.197124], [11.555765, 40.81091], [4.6663256, -0.26675713], [20.885317, -21.45519], [17.311909, 3.9237585], [-14.1520195, 28.90349], [12.061411, 6.7784247], [35.72638, -13.821022]]; classify the embedding [-39.110786,-39.678566] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,standing
1,"The following given embeddings correspond to ""standing"": [[-9.455753, -31.00343], [-25.773958, -40.417866], [-20.687834, 30.383518], [-21.98961, 21.418867], [-12.68347, -36.345676], [-18.660618, 28.80771], [-35.265575, -40.443954], [-26.198418, -39.30225], [-20.616777, 23.502087], [-0.66004646, -10.036105]], and the following given embeddings correspond to ""stair up"": [[22.468227, 18.197124], [20.854103, 0.6787811], [10.38978, 9.858371], [13.591949, 6.324806], [4.631833, 15.199386], [19.98892, -20.497347], [21.965776, -21.875042], [4.9243903, 4.6379333], [19.326775, 14.253089], [8.752328, -6.9808493]]; classify the embedding [-51.536808,26.60278] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,"""standing"""
2,"The following given embeddings correspond to ""standing"": [[-35.19139, -39.54705], [-30.045334, 19.062634], [-19.779366, 29.115559], [-15.706842, -34.37378], [-27.80373, 21.216175], [-26.858295, -39.69159], [-21.814047, 22.583145], [5.0074463, -8.013444], [-12.137833, -30.303305], [-49.327396, 6.132187]], and the following given embeddings correspond to ""stair up"": [[21.619719, 0.461238], [-52.12823, 31.328081], [32.50251, 2.6331563], [33.702686, 11.729437], [14.295957, 38.26147], [3.9276428, 18.096651], [-19.500103, 21.736265], [16.505095, 1.2064227], [-35.282333, 35.167038], [24.68652, -8.1855]]; classify the embedding [-38.240948,-38.02957] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,standing
3,"The following given embeddings correspond to ""standing"": [[-39.46669, -41.11227], [-10.352333, -29.434671], [-13.984301, -33.868355], [-9.35168, -34.95437], [-18.788208, 30.507189], [-24.568666, -37.02987], [-1.1018722, -9.133118], [-38.181717, -39.814083], [-19.402954, 28.543121], [-23.492916, -35.50076]], and the following given embeddings correspond to ""stair up"": [[34.04075, -12.050467], [10.836582, -7.6723824], [17.739538, -17.871233], [34.657845, -1.5703145], [16.412106, 38.599068], [13.591949, 6.324806], [26.924429, 25.294407], [7.528552, -21.007896], [5.977634, -14.840569], [13.204205, 5.4178224]]; classify the embedding [-39.78513,-39.92866] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,standing
4,"The following given embeddings correspond to ""standing"": [[-35.95818, -39.344147], [3.33841, -17.95699], [-26.699137, 19.993433], [-24.578356, 22.723276], [-24.942295, -35.97321], [-22.505987, 22.255135], [-24.978886, -34.90892], [-28.196756, 18.014715], [-7.6116247, -32.293427], [-19.99876, -37.347275]], and the following given embeddings correspond to ""stair up"": [[40.654778, 0.52862954], [4.482658, 19.320213], [12.002488, 28.602266], [4.6663256, -0.26675713], [13.531073, -15.652682], [11.555765, 40.81091], [20.691433, -18.2325], [7.028673, 3.008803], [51.82558, -14.36656], [-35.282333, 35.167038]]; classify the embedding [-34.108376,-42.47069] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,standing
5,"The following given embeddings correspond to ""standing"": [[-52.95534, 6.5303144], [-10.104916, -31.728168], [-13.984301, -33.868355], [-22.883005, 23.099592], [-7.3619604, -29.096241], [4.363894, -4.8313437], [-20.616777, 23.502087], [-37.617256, 41.16189], [-19.779366, 29.115559], [-28.804955, 20.614883]], and the following given embeddings correspond to ""stair up"": [[12.65531, 23.166237], [17.476942, 3.713405], [5.977634, -14.840569], [-52.12823, 31.328081], [6.919426, 1.0671716], [20.691433, -18.2325], [7.9694858, -7.94125], [40.663956, 0.7122175], [10.836582, -7.6723824], [4.669197, -5.68839]]; classify the embedding [-5.9994397,-35.099968] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,"""standing"""
6,"The following given embeddings correspond to ""standing"": [[-7.2362967, -22.45102], [4.293173, 4.279511], [-24.568666, -37.02987], [-13.984301, -33.868355], [-33.62118, -38.21486], [-20.543684, 27.15111], [-9.455753, -31.00343], [-15.706842, -34.37378], [-32.116356, -41.348495], [-25.167255, -40.962246]], and the following given embeddings correspond to ""stair up"": [[14.295957, 38.26147], [9.933993, 1.3478351], [32.50251, 2.6331563], [3.0205297, 12.557601], [6.860186, -12.278137], [12.565892, -16.223942], [4.6483154, 15.382558], [14.485247, 38.847866], [24.451612, -9.475828], [21.619719, 0.461238]]; classify the embedding [-39.46669,-41.11227] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,standing
7,"The following given embeddings correspond to ""standing"": [[-8.68862, -33.37344], [-26.858295, -39.69159], [-32.988213, -34.979237], [-25.881369, -36.383526], [-18.93854, 27.706997], [-23.169706, -37.468815], [-14.659563, -36.175472], [-51.593292, 5.3954015], [-6.8523026, -30.806229], [-52.09212, 10.17999]], and the following given embeddings correspond to ""stair up"": [[7.9694858, -7.94125], [11.555765, 40.81091], [4.631833, 15.199386], [-19.500103, 21.736265], [10.718389, -19.807358], [6.6721582, -12.476931], [41.945293, 7.5302362], [20.885317, -21.45519], [34.04075, -12.050467], [32.50251, 2.6331563]]; classify the embedding [-40.386112,-39.175175] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,standing
8,"The following given embeddings correspond to ""standing"": [[-52.95534, 6.5303144], [-18.93854, 27.706997], [-27.784554, 19.729448], [-31.692263, -36.4899], [-10.6536045, -31.848526], [-31.075974, -35.83517], [-41.63086, -38.30084], [-20.33634, 31.027119], [-20.543684, 27.15111], [-8.251961, -31.620806]], and the following given embeddings correspond to ""stair up"": [[40.654778, 0.52862954], [5.622311, 6.5980873], [6.6721582, -12.476931], [-14.1520195, 28.90349], [-14.24023, 28.9247], [44.560284, -7.762913], [44.02058, -1.5012693], [7.9694858, -7.94125], [24.109423, -1.1897506], [14.485247, 38.847866]]; classify the embedding [-28.196756,18.014715] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,"""standing"""
9,"The following given embeddings correspond to ""standing"": [[-21.02702, 27.065313], [-18.660618, 28.80771], [-0.66004646, -10.036105], [-52.233852, 5.672606], [-25.430544, -39.601], [-21.74448, 31.736048], [-25.919884, 19.552189], [4.293173, 4.279511], [3.33841, -17.95699], [-8.251961, -31.620806]], and the following given embeddings correspond to ""stair up"": [[34.657845, -1.5703145], [39.00806, -25.696661], [27.152077, -14.225984], [5.622311, 6.5980873], [17.311909, 3.9237585], [6.565593, -20.334679], [35.7757, -4.892875], [25.412079, -9.384235], [27.921022, 24.78631], [16.122005, -10.877829]]; classify the embedding [-38.181717,-39.814083] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing,standing
