,query,ground_truth,response
0,"The following given embeddings correspond to ""standing"": [[-42.171562, -38.577606], [-35.95818, -39.344147], [-8.279873, -33.03706]], and the following given embeddings correspond to ""stair up"": [[22.176355, -5.051969], [5.5091996, 0.9072939], [22.468227, 18.197124]]; classify the embedding [-39.110786,-39.678566] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
1,"The following given embeddings correspond to ""standing"": [[-9.455753, -31.00343], [-25.773958, -40.417866], [-20.687834, 30.383518]], and the following given embeddings correspond to ""stair up"": [[22.468227, 18.197124], [20.854103, 0.6787811], [10.38978, 9.858371]]; classify the embedding [-51.536808,26.60278] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
2,"The following given embeddings correspond to ""standing"": [[-35.19139, -39.54705], [-30.045334, 19.062634], [-19.779366, 29.115559]], and the following given embeddings correspond to ""stair up"": [[21.619719, 0.461238], [-52.12823, 31.328081], [32.50251, 2.6331563]]; classify the embedding [-38.240948,-38.02957] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
3,"The following given embeddings correspond to ""standing"": [[-39.46669, -41.11227], [-10.352333, -29.434671], [-13.984301, -33.868355]], and the following given embeddings correspond to ""stair up"": [[34.04075, -12.050467], [10.836582, -7.6723824], [17.739538, -17.871233]]; classify the embedding [-39.78513,-39.92866] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""Standing"""
4,"The following given embeddings correspond to ""standing"": [[-35.95818, -39.344147], [3.33841, -17.95699], [-26.699137, 19.993433]], and the following given embeddings correspond to ""stair up"": [[40.654778, 0.52862954], [4.482658, 19.320213], [12.002488, 28.602266]]; classify the embedding [-34.108376,-42.47069] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
5,"The following given embeddings correspond to ""standing"": [[-52.95534, 6.5303144], [-10.104916, -31.728168], [-13.984301, -33.868355]], and the following given embeddings correspond to ""stair up"": [[12.65531, 23.166237], [17.476942, 3.713405], [5.977634, -14.840569]]; classify the embedding [-5.9994397,-35.099968] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
6,"The following given embeddings correspond to ""standing"": [[-7.2362967, -22.45102], [4.293173, 4.279511], [-24.568666, -37.02987]], and the following given embeddings correspond to ""stair up"": [[14.295957, 38.26147], [9.933993, 1.3478351], [32.50251, 2.6331563]]; classify the embedding [-39.46669,-41.11227] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
7,"The following given embeddings correspond to ""standing"": [[-8.68862, -33.37344], [-26.858295, -39.69159], [-32.988213, -34.979237]], and the following given embeddings correspond to ""stair up"": [[7.9694858, -7.94125], [11.555765, 40.81091], [4.631833, 15.199386]]; classify the embedding [-40.386112,-39.175175] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
8,"The following given embeddings correspond to ""standing"": [[-52.95534, 6.5303144], [-18.93854, 27.706997], [-27.784554, 19.729448]], and the following given embeddings correspond to ""stair up"": [[40.654778, 0.52862954], [5.622311, 6.5980873], [6.6721582, -12.476931]]; classify the embedding [-28.196756,18.014715] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
9,"The following given embeddings correspond to ""standing"": [[-21.02702, 27.065313], [-18.660618, 28.80771], [-0.66004646, -10.036105]], and the following given embeddings correspond to ""stair up"": [[34.657845, -1.5703145], [39.00806, -25.696661], [27.152077, -14.225984]]; classify the embedding [-38.181717,-39.814083] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,"""Standing"""
10,"The following given embeddings correspond to ""standing"": [[-23.319937, 24.429234], [-24.976236, -40.3781], [-22.883005, 23.099592]], and the following given embeddings correspond to ""stair up"": [[51.82558, -14.36656], [6.6721582, -12.476931], [10.836582, -7.6723824]]; classify the embedding [-41.63086,-38.30084] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Standing,standing
