embedding,labels
"0.2586931,1.3381296,-0.1195267,-1.3450106,-0.19362222,-1.9790739,1.1471958,-0.2556714,0.385965,-0.08598857,-0.41687018,0.58906674,-0.6697066,0.32049415,-0.08328465",5
"-3.544019,-1.8183178,0.73185337,-0.013238994,0.13253908,0.28897995,-0.29007187,-1.1270095,0.27740237,-0.44753808,-0.26287454,-0.8427477,0.39683285,-0.25372377,-0.21079326",0
"-1.689809,0.30270106,0.20302658,-0.16602184,-0.4710894,-0.2994539,-1.0581238,-0.15103142,-1.3329383,-0.13007636,0.46324214,-0.084993,0.4174721,-1.0690275,-0.012218332",0
"-4.8826365,-4.0090966,0.5425649,0.19776289,0.542548,0.28389734,-0.40586132,-0.037714794,-0.06501208,-0.20829575,-0.42371866,0.13887647,0.03899349,-0.13959041,0.020355118",2
"1.1214259,0.35332462,0.08957024,-0.41854632,1.0093217,-0.41099346,0.72244155,-1.2036573,0.5078599,-0.114686914,0.009526709,-0.06711708,-0.53802073,0.14516482,0.03138972",4
"-4.4516954,1.4168688,-0.77045166,0.25943086,-0.23006558,0.052611195,-0.14992137,1.0242449,-0.040018618,0.25807986,0.18859023,0.5046726,-0.9093488,0.2988898,0.18332392",1
"-4.4559402,1.4301575,-0.94323957,0.22244088,-0.34585604,-0.35161838,-0.6109333,0.8357223,0.055410087,0.13592781,-0.10916403,0.626765,-0.72575474,0.27204394,0.26641876",2
"4.6481485,-1.9102364,-1.1749105,0.44099694,0.13055475,-0.10114012,-0.11351432,-0.17871803,-0.16128686,0.1982942,0.4146432,0.38635954,0.92203164,0.31768763,0.3100561",3
"-1.7792369,0.8444178,0.47860217,-0.3855233,-0.34153515,-0.31021082,0.24144101,-0.15461196,-0.64254886,-0.041607805,0.38664898,-0.18835826,0.3980179,-1.104612,0.23047884",0
"4.772566,-1.7977208,-1.096233,-0.2965182,-0.072678946,-0.28754598,-0.15674463,0.15526304,-0.52258044,0.23730691,0.39262593,0.1585203,-0.025274616,-0.49146917,-0.42465675",5
"-1.9892359,-1.2277398,0.42853105,0.75357217,-0.46145657,0.010670622,-0.8073455,0.6418773,0.39124596,1.1126604,0.3724302,-0.064269125,0.5055389,-0.4604429,-0.26130193",0
"-3.8279338,-2.8675058,0.28292605,0.3809115,0.33549687,1.0226809,-0.59721434,-0.31976196,0.036386434,-0.5384817,-0.7370715,-0.2690972,0.4233381,-0.26407507,-0.09880442",0
"-3.7453907,-2.7483327,0.9224588,0.13199787,0.3260288,0.21855548,-0.027585004,-0.99576,0.2216036,-0.46512222,-0.08510369,-0.5865259,0.40846303,-0.25666487,-0.13905077",0
"1.1967844,0.82350945,0.87005675,0.036745805,-0.25939578,-0.79623646,-0.2240967,-0.30981457,0.016351467,-0.42562166,-0.24805371,-0.5807182,0.8720858,-0.35222265,-0.4774431",3
"0.70344234,-0.41174534,-0.5321712,-0.14119811,1.0419333,0.62402534,-0.30974966,0.34921575,-0.1937907,0.36843902,-0.58875805,0.8627272,-0.6805315,0.7204027,0.25164375",4
"0.23215361,0.33871138,-0.62195057,-0.29224238,0.93953395,-0.28605324,-0.31514835,0.42516977,0.15407082,-0.2552461,-0.3843907,0.7833724,-0.19389056,0.6035363,-0.45342758",4
"1.2139053,-0.42931336,0.33505496,0.32624835,0.26598477,-0.8523877,0.050097335,-0.41616067,0.5029311,-0.33990517,-0.06060541,-0.29509342,0.93597543,-0.6859107,-0.7394909",3
"-4.631593,-3.9964483,0.82513225,0.26693094,0.5408253,0.2499566,-0.3675539,-0.42445818,0.0039152745,-0.3539885,-0.2244072,-0.16661152,0.13368313,-0.2319707,-0.0048230244",2
"-4.959175,-3.8928847,0.51628566,0.20525983,0.588188,0.3304384,-0.4903844,-0.10551019,-0.036701288,-0.23928306,-0.4450866,0.14426613,0.031823803,-0.18833,0.04553439",2
"2.9683774,-1.329645,-1.4593611,-1.0574592,-0.19661562,-0.4015668,0.022738606,-0.09834728,-0.28514454,0.3453022,-0.0010505059,0.78719896,-0.15592618,-0.18577364,0.1570779",4
"-3.7683814,-5.0442214,1.3366667,0.35465693,0.5309042,0.7023757,-1.1099765,-0.0757442,-0.2467538,-0.3587249,0.09629946,-0.23128383,-0.046293933,-0.12080451,0.044571128",2
"-4.428808,1.4340461,-0.86211693,0.3029794,-0.35289922,-0.18963298,-0.45878074,0.9167774,0.07009109,0.1986535,-0.11658405,0.61740917,-0.7384624,0.40989745,0.24969335",1
