query,ground_truth
"The following given embeddings correspond to ""walking upstairs"": [[0.570298, -1.8272351, 1.1578568, -0.0910359, -1.2243619, 0.2765512, -0.16921343, -0.08212837, -0.21755868, 1.0621835], [1.7964764, -2.5349236, 0.03254324, 1.2539241, 0.35266066, -0.313148, 0.83082527, 0.84089804, -0.9945191, -1.604981], [0.4519195, -0.8066578, -0.2155763, 1.052474, -0.051489264, -0.8106231, 0.5898462, -0.66378796, -0.5241253, -0.1638597]], and the following given embeddings correspond to ""jogging"": [[4.7115912, 0.5129719, 2.0996416, -1.3056468, 1.0298088, -0.23056565, 0.08937052, -1.2161943, 0.92773116, 0.17234774], [3.571579, -0.7312206, -0.9607474, -0.03295241, 0.21878603, -1.4227313, 0.23168759, 0.9806263, 2.2959647, 0.24563304], [4.655422, 0.431875, 1.9153173, -1.407992, 0.9883741, -0.37601584, -0.028508756, -1.266679, 0.863635, 0.12847127]]; classify the embedding [0.6983727,-1.2487001,-0.7374388,0.69607466,-1.0167736,-0.421363,0.4343712,-0.4648303,0.32192087,-1.1367576] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.4303265, 0.8579519, 0.7687302, 0.5609698, -0.2273649, 0.57094795, -0.4055711, -0.81317514, -0.7244616, -0.8305534], [0.60935044, -0.8418394, -0.5621806, 1.3756406, -0.017166762, -1.0813265, 0.72256255, -0.64978653, -0.35548127, -0.21490125], [0.5262791, 1.6316632, -0.05970942, 0.75752604, -0.5357362, -0.7079601, 0.87345374, 0.39945844, -0.62674224, -1.5628315]], and the following given embeddings correspond to ""jogging"": [[3.997845, -0.62983465, -0.33042037, -0.6345453, 0.046441995, -1.0430105, -0.27560437, 0.85572755, 1.8052073, 0.2901347], [3.7541673, -2.283058, 0.96278554, -0.8031245, -0.39054775, -0.05427503, 0.8950081, 1.065923, -0.20177834, 0.5822001], [3.9024065, -1.8420615, 0.494116, -0.81439537, -0.30318716, -1.2538831, 1.1670101, 0.8005046, -0.07560363, 0.57735246]]; classify the embedding [2.3521464,1.4361382,-0.021217382,0.5717161,-0.21033296,-0.15820971,-0.9677837,0.7518273,-1.3039768,-1.4961822] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.0858474, -0.8743384, 0.54641515, 1.8208898, -0.18556932, -0.34174263, -0.3706859, -0.62112993, 0.35703465, 1.0674005], [0.71723413, -1.2387098, -0.17098911, 1.3468549, -0.016334727, -1.8488239, -0.55082303, 0.17809156, 0.9624912, 0.089234136], [3.963399, -4.662108, 0.01589193, -0.98413944, 0.07107631, 0.5451805, 0.93434274, -2.0100355, -0.51443917, -0.05590848]], and the following given embeddings correspond to ""jogging"": [[4.2670956, 0.17231143, 0.61719924, -2.2796993, 0.6061799, -0.658962, -0.7474926, -0.779549, -0.56127906, 0.5583824], [4.2198634, -0.52933884, 1.6175495, -0.08539659, 1.035033, 1.7433091, 1.2391787, -0.40492043, 0.46204695, 0.80789506], [4.472785, 0.27259636, 0.2686773, -1.364404, -0.106091484, 0.73009545, -0.9986358, -1.2365267, 1.122069, 0.6288954]]; classify the embedding [3.6629398,-3.731146,1.9830546,0.19441715,-1.1736612,-0.02540667,1.0644445,0.88698894,0.22405556,-0.06557898] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.3934718, -1.635215, -0.29776406, 0.47968212, -0.934905, 0.17444387, -0.5402911, -0.20192862, 0.4004473, -1.2259517], [1.0274702, -4.954267, 0.15450385, 0.47771546, -0.5031221, -0.34423864, -0.77605253, 2.0674539, 0.41851726, -1.0584807], [0.56276697, -1.5921918, 0.029002167, 1.1655868, -0.9944532, -0.5937781, 0.05886335, 0.095538005, 0.5885809, 0.6209947]], and the following given embeddings correspond to ""jogging"": [[4.007352, -0.9073751, -0.6934855, -0.5134698, 0.48793083, 1.224943, 1.5464559, -0.76496226, 0.10750541, 0.51693475], [4.4556775, 0.029172955, 2.8071525, -0.65818655, 1.3868988, -0.2603318, -0.47568715, -0.4197792, 0.42277446, 0.26799923], [4.427784, 0.17256911, 0.03639178, -2.1319165, 0.36408997, 0.040788572, -0.79070824, -0.89019525, -0.5743099, 0.8404585]]; classify the embedding [-0.33368647,0.6979853,0.9622569,0.19995548,-0.20016813,-0.6148771,-0.29326865,-0.25308934,-0.68739104,-0.79096836] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.37166566, -0.5707349, -0.0010191932, 0.7711886, 0.077274084, -0.77200675, 0.56008226, -0.81416184, -0.74290913, -0.21021348], [0.71298397, -0.057013467, -0.93816096, 0.023204396, -0.99932146, 0.51102567, 1.2222092, 0.81501114, 0.4172119, 0.108693264], [0.66113853, -1.511274, 0.716965, 0.1405666, -1.3257943, -0.06439115, -0.5123365, -0.02275836, 0.04909049, 0.9100763]], and the following given embeddings correspond to ""jogging"": [[3.135269, -0.54322463, -1.1744319, 0.37219563, 0.38124985, -1.0522248, -0.58086383, -0.24901265, 1.5669096, 0.52040863], [4.2681665, -1.143994, 1.611724, -0.62760574, 0.051165707, 1.3063148, 0.37297663, 1.089877, 0.10717259, 0.44621116], [4.0241165, -0.6650796, -0.64777076, -2.1631672, 1.2076797, -0.9674726, -0.44986218, 0.76944554, 0.20090954, -0.4652194]]; classify the embedding [1.2392325,-1.6225588,-1.4111453,-0.30120167,-0.44144675,0.1314261,-1.8038865,-0.78801936,0.09787075,0.25746644] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.9660762, -0.5173121, 0.1423255, 0.063837506, -0.785949, -0.8662714, -0.03595821, -1.5065773, 0.13753754, -0.5920593], [-0.33368647, 0.6979853, 0.9622569, 0.19995548, -0.20016813, -0.6148771, -0.29326865, -0.25308934, -0.68739104, -0.79096836], [0.122914046, -0.465538, -0.35583216, 1.4513216, -0.7968684, 1.1427011, -0.3136862, -0.1363582, -1.0815988, 0.39060244]], and the following given embeddings correspond to ""jogging"": [[3.5881214, -0.4610654, -0.7567812, -0.20779999, 0.03744633, -0.9458867, 0.07231372, 0.97118956, 1.9127303, 0.25524303], [4.147471, -0.029304273, -0.32193917, -1.6585963, -0.05331312, 0.4983261, -0.91313916, -1.5981627, 0.75673985, 0.5772376], [3.7541673, -2.283058, 0.96278554, -0.8031245, -0.39054775, -0.05427503, 0.8950081, 1.065923, -0.20177834, 0.5822001]]; classify the embedding [0.4519195,-0.8066578,-0.2155763,1.052474,-0.051489264,-0.8106231,0.5898462,-0.66378796,-0.5241253,-0.1638597] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.8945748, -0.31241933, 0.23880586, 0.53864115, -1.1020675, 0.7115899, -0.26842743, 1.4269276, 0.6297007, 0.6685368], [0.5262791, 1.6316632, -0.05970942, 0.75752604, -0.5357362, -0.7079601, 0.87345374, 0.39945844, -0.62674224, -1.5628315], [0.68244475, -1.3515273, -0.6602299, 0.45308486, -0.62606126, -0.023368062, -1.5185094, -0.10623359, 0.21164718, -1.6075767]], and the following given embeddings correspond to ""jogging"": [[4.14436, -1.4954119, 0.7734212, -0.73498535, -0.12863794, -1.612907, 0.8769881, 1.2044678, 0.4728268, 0.27351993], [4.2806544, 0.23061095, -0.5339038, -1.5683792, 0.71314603, 0.47992808, -0.27721116, -0.86016536, -0.38716465, 1.1392629], [5.9587746, -0.62217927, -0.86772305, -0.6350896, 0.91877705, 1.1868155, -1.0861213, -0.08042317, 0.99776554, 0.3134435]]; classify the embedding [-0.19808896,-0.5746099,-0.14519167,-0.3691215,-0.59319013,-0.9540391,0.2767631,-0.37043053,-1.0100814,0.3221252] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[1.2249647, 0.04452378, -1.4534308, 0.35130155, -0.9552064, 0.91566586, 0.4933624, 0.23708797, 0.019062588, -0.7424935], [1.4426675, -1.0505537, -1.7926246, 0.99292403, -0.37113377, -0.22087918, 0.29643306, -0.42800325, -0.035955217, -1.2690151], [0.3934718, -1.635215, -0.29776406, 0.47968212, -0.934905, 0.17444387, -0.5402911, -0.20192862, 0.4004473, -1.2259517]], and the following given embeddings correspond to ""jogging"": [[4.67664, -6.8613906, 1.4260851, 0.18887629, -1.3464345, -0.3825297, 0.36466005, -0.05005903, -0.96599865, -0.5223997], [4.4954753, -0.55063117, 2.039712, -0.7530369, 0.8828792, 1.5484527, 0.40661925, 0.22536139, 1.001576, 0.2714634], [4.1795115, -0.58812815, -0.31465232, -1.2079268, 0.2990562, -0.91673285, -0.670925, 0.53294224, 1.6578577, 0.19273384]]; classify the embedding [0.6854752,-0.25521067,-0.32550123,0.51569873,-1.3273256,1.1662769,-0.2628012,0.07527494,-0.11010122,-0.6885161] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.5012947, -1.4583759, -0.15517348, 1.5410869, -1.0154716, -0.54934055, 0.70290715, -0.39758706, 0.59535366, 0.41729885], [0.6983727, -1.2487001, -0.7374388, 0.69607466, -1.0167736, -0.421363, 0.4343712, -0.4648303, 0.32192087, -1.1367576], [0.1793955, 0.9971175, 0.92047435, 0.6987641, -0.018220361, 0.31747338, -0.12311723, -0.9250926, -0.73019415, -0.74906623]], and the following given embeddings correspond to ""jogging"": [[4.810863, -1.0642189, 1.09839, -2.0033946, -0.32593203, -0.26917508, -0.50615716, 1.2089546, -0.29756162, 0.17718992], [4.126783, -1.5232157, 1.3047278, -0.61242604, -0.08929909, 0.90187025, 0.4090285, 1.2683182, -0.08185644, 0.38182673], [4.2141056, -0.870278, -1.2972016, -1.2495703, 0.31687585, 1.1030062, 0.07078821, -1.1412499, 0.3974123, 0.51614857]]; classify the embedding [-0.36591342,1.4563923,1.1109755,0.34207746,-0.085370146,-0.47166693,-0.14969634,-0.20566332,-0.6219434,-1.039648] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.71298397, -0.057013467, -0.93816096, 0.023204396, -0.99932146, 0.51102567, 1.2222092, 0.81501114, 0.4172119, 0.108693264], [2.3212254, 0.22563876, -1.8086405, -1.052649, 0.3157203, -0.4720147, -0.04775984, -0.74623734, 0.051678173, -0.635228], [2.2820873, -0.0011596766, -1.5678502, -0.8478086, 0.3028621, -0.5186983, 0.017560562, -0.5095614, 0.13361514, -0.8937769]], and the following given embeddings correspond to ""jogging"": [[5.1447916, -0.026034627, 0.20527115, -0.7850136, 0.26943934, 0.11469433, -1.3427203, -0.67900145, 1.9467744, 0.4962924], [4.0305495, -0.738805, 1.2169844, -0.5750838, 0.9868146, 2.1968393, 1.072465, 0.13609082, 0.588719, 0.6473473], [4.2806544, 0.23061095, -0.5339038, -1.5683792, 0.71314603, 0.47992808, -0.27721116, -0.86016536, -0.38716465, 1.1392629]]; classify the embedding [0.7419027,-0.3975521,-0.72740376,1.030216,-0.08775908,-1.6993467,0.5316676,-0.8709213,-0.2696989,0.066080414] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
