query,ground_truth
"The following given embeddings correspond to ""walking upstairs"": [[2.2160792, -17.319313], [19.203281, -26.478802], [3.3138595, -9.43954], [4.350831, -3.2790782], [3.068784, -16.290665], [1.4545803, -2.1837223], [15.987667, -1.7750744], [-10.632241, 2.296942], [-1.5836555, -11.253056], [6.8355117, -13.409677]], and the following given embeddings correspond to ""jogging"": [[43.50849, 6.324485], [25.224098, 1.0371232], [43.01263, 5.7907066], [40.986687, 13.948605], [45.157692, 11.9125805], [38.93426, -8.57253], [44.066593, 11.816193], [41.642433, 3.1476684], [27.218569, -4.05622], [41.627872, 1.5617329]]; classify the embedding [7.1398787,-7.717052] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.3993125, 2.9032435], [4.366782, -9.543303], [0.65289956, 9.131089], [0.80073804, -5.7879677], [2.4695225, -5.1766424], [1.8409699, -8.125172], [3.0239673, -5.773879], [7.257254, -6.444615], [-9.635727, 9.960139], [2.2160792, -17.319313]], and the following given embeddings correspond to ""jogging"": [[27.651657, 1.6925467], [37.54154, -9.629216], [34.59499, -10.80036], [25.80115, 2.733077], [27.250294, -20.97338], [41.685562, 1.4024887], [43.50849, 6.324485], [41.642433, 3.1476684], [3.1197462, 17.26071], [27.218569, -4.05622]]; classify the embedding [-0.57597184,13.416213] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[8.896055, -11.201985], [10.00221, -15.195515], [39.49697, -33.193176], [2.0504541, 3.6700776], [-0.11624465, -9.350873], [1.8409699, -8.125172], [2.4695225, -5.1766424], [4.897863, -12.029958], [2.3993125, 2.9032435], [-11.172409, 0.22527799]], and the following given embeddings correspond to ""jogging"": [[38.689854, 1.8293967], [41.97617, 12.927231], [36.06752, 5.8449407], [-6.1655693, 5.9030123], [38.83521, -7.9009066], [27.495226, -21.525421], [26.953796, 7.8094616], [35.685886, 8.423948], [46.80663, 4.5565634], [3.1197462, 17.26071]]; classify the embedding [32.17524,-32.19487] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[7.257254, -6.444615], [20.055172, -34.863754], [4.951733, -13.539399], [5.47473, -3.4696324], [30.039362, -13.309803], [2.595358, -5.000062], [-1.8941493, -2.9685626], [4.256844, -10.712115], [-0.57597184, 13.416213], [10.00221, -15.195515]], and the following given embeddings correspond to ""jogging"": [[26.953796, 7.8094616], [46.80663, 4.5565634], [36.93206, 2.106043], [27.250294, -20.97338], [44.01809, 12.328388], [31.410166, -1.9387885], [38.45253, -3.0021343], [22.933493, 1.9639926], [-6.1655693, 5.9030123], [36.07044, 1.173327]]; classify the embedding [3.1030264,4.842977] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.6744492, -8.830201], [-7.8587685, -1.662326], [3.045066, -16.071459], [0.8346786, 3.1299508], [20.055172, -34.863754], [10.00221, -15.195515], [10.993852, 7.2179513], [-1.8941493, -2.9685626], [1.6314186, -19.292559], [15.076846, -1.9038138]], and the following given embeddings correspond to ""jogging"": [[22.154926, 1.1605215], [39.25077, -6.755963], [31.944155, -2.0944273], [22.62742, 5.4616337], [36.665398, 7.1076303], [45.157692, 11.9125805], [29.965635, -0.28237292], [42.04886, 12.051239], [38.959576, 8.679298], [38.50755, -3.9538672]]; classify the embedding [15.277095,-10.620498] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[4.819026, -6.8533363], [3.1030264, 4.842977], [-2.5514135, -5.647672], [10.00221, -15.195515], [2.6744492, -8.830201], [3.6901598, -15.239836], [16.618992, -5.1260357], [24.610975, -41.004845], [4.897863, -12.029958], [-7.7509227, 7.4818044]], and the following given embeddings correspond to ""jogging"": [[25.986763, 1.9930112], [35.417088, 4.769525], [37.54154, -9.629216], [3.1197462, 17.26071], [45.830627, 5.8906465], [35.685886, 8.423948], [38.71292, 7.7503867], [27.218569, -4.05622], [35.266525, 7.981969], [26.975304, 7.969848]]; classify the embedding [3.3138595,-9.43954] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-6.493414, -5.3799944], [0.65289956, 9.131089], [7.3969975, -4.7102137], [8.88425, -11.258523], [17.428686, -3.2255142], [10.993852, 7.2179513], [4.382731, -16.499277], [3.1030264, 4.842977], [3.045066, -16.071459], [6.7699265, -13.351891]], and the following given embeddings correspond to ""jogging"": [[34.631256, -9.183424], [35.027134, 2.3551004], [33.62734, 11.440194], [-7.5252633, 4.83672], [38.689854, 1.8293967], [27.095982, -4.129243], [44.35675, 7.778518], [34.625916, -9.246121], [25.388018, 1.3359952], [34.59499, -10.80036]]; classify the embedding [-0.11624465,-9.350873] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-5.3850393, -2.0407043], [10.761646, -4.703828], [7.257254, -6.444615], [-7.8587685, -1.662326], [0.19387676, -14.478816], [7.381365, -5.5238304], [20.055172, -34.863754], [2.5054634, 5.83932], [1.8409699, -8.125172], [2.637995, -16.508663]], and the following given embeddings correspond to ""jogging"": [[44.647305, -9.284542], [44.715607, 12.847107], [29.150114, 1.084353], [42.04886, 12.051239], [34.625916, -9.246121], [35.685886, 8.423948], [41.627872, 1.5617329], [22.933493, 1.9639926], [46.80663, 4.5565634], [41.642433, 3.1476684]]; classify the embedding [-1.8941493,-2.9685626] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[4.897863, -12.029958], [7.1398787, -7.717052], [2.0370352, 3.47346], [-9.635727, 9.960139], [1.6314186, -19.292559], [24.610975, -41.004845], [2.8642404, 15.732811], [4.382731, -16.499277], [14.39995, -1.5369828], [3.6513965, -3.1208649]], and the following given embeddings correspond to ""jogging"": [[38.45253, -3.0021343], [38.99644, -7.460116], [27.095982, -4.129243], [37.979153, -0.5492645], [27.495226, -21.525421], [26.953796, 7.8094616], [43.45768, 8.909068], [25.77433, -5.7339654], [44.01809, 12.328388], [31.188269, -3.1587296]]; classify the embedding [2.5054634,5.83932] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-7.8587685, -1.662326], [14.39995, -1.5369828], [15.076846, -1.9038138], [8.88425, -11.258523], [32.17524, -32.19487], [4.366782, -9.543303], [-12.077776, 4.220626], [7.437901, -4.878224], [1.8409699, -8.125172], [0.65289956, 9.131089]], and the following given embeddings correspond to ""jogging"": [[35.266525, 7.981969], [40.986687, 13.948605], [35.027134, 2.3551004], [46.80663, 4.5565634], [43.913544, 4.95584], [42.857647, 5.6129785], [-15.841647, 36.230724], [44.01809, 12.328388], [38.98081, 6.033096], [35.417088, 4.769525]]; classify the embedding [4.549535,-8.530022] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
