query,ground_truth
"The following given embeddings correspond to ""walking upstairs"": [[0.87845254, -3.5216517, 0.33740756, -0.01315444, -1.5556548]], and the following given embeddings correspond to ""jogging"": [[7.38492, 1.3135866, 2.491709, 0.637041, 1.3776208]]; classify the embedding [0.1362966,-0.29293945,-1.195635,1.6924633,-0.65747786] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.727769, 1.5653569, 1.6767273, 1.2687298, -0.8405428]], and the following given embeddings correspond to ""jogging"": [[5.92975, -0.48670894, -0.5656015, -2.8939598, 1.4684635]]; classify the embedding [2.68042,4.019612,0.37407827,-1.4086885,-3.3217824] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.650687, -2.4139206, -0.40149832, 2.5435321, -2.913648]], and the following given embeddings correspond to ""jogging"": [[8.074175, 0.3129628, -0.08669494, 0.949123, 0.42794022]]; classify the embedding [5.1383734,-5.394359,3.2618837,-0.30976498,-1.0822815] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.19930647, -0.763689, -0.6037857, 1.7638453, 0.6284107]], and the following given embeddings correspond to ""jogging"": [[4.622881, -1.1721902, -0.19887799, 0.7935683, 3.59282]]; classify the embedding [0.25243437,1.1055195,1.6753659,0.3690785,-2.0301356] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.3893359, -0.5467504, 0.7299085, 2.1027522, -2.0469623]], and the following given embeddings correspond to ""jogging"": [[4.2044673, -0.940838, -1.6577629, -2.0494144, 1.1749594]]; classify the embedding [1.738481,-2.181502,-1.7755454,-0.56742585,0.8460138] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.1610036, -0.50771147, 0.5490468, 1.3054299, -1.945559]], and the following given embeddings correspond to ""jogging"": [[5.132324, -0.42300242, -0.8316256, -3.2396836, 1.4687486]]; classify the embedding [0.3883374,-0.7719848,0.22328198,2.271704,-2.035588] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.45585045, -1.007984, 0.5078835, -2.0273092, 0.85777324]], and the following given embeddings correspond to ""jogging"": [[6.453832, -2.8089442, 0.30004883, -2.9545288, 0.5529527]]; classify the embedding [-0.52598345,-1.0444134,1.0462661,0.82406837,-1.3867619] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[0.76758796, 1.0466325, -0.9508286, -0.5835991, 0.5444315]], and the following given embeddings correspond to ""jogging"": [[6.835902, -10.125339, 2.9161012, 0.16770421, -0.505733]]; classify the embedding [0.2298696,0.33504376,0.17529388,0.096905366,0.8298884] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-0.09304013, -2.3164513, -0.7984866, 2.5450544, -1.7961397]], and the following given embeddings correspond to ""jogging"": [[8.194228, -1.9794141, 0.8226671, -0.9400699, 0.63714564]]; classify the embedding [0.12275955,2.1890132,1.6753412,0.35752282,-2.0541005] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-0.061607394, 0.7350451, -0.80145746, -1.8457292, 0.028795082]], and the following given embeddings correspond to ""jogging"": [[7.6670003, 1.4042035, -0.08297911, -1.3663841, 2.929183]]; classify the embedding [1.4968076,-0.51424855,-0.33417737,2.7699118,-2.114651] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
