,query,ground_truth,response
0,"The following given embeddings correspond to ""walking upstairs"": [[2.2160792, -17.319313], [19.203281, -26.478802], [3.3138595, -9.43954]], and the following given embeddings correspond to ""jogging"": [[43.50849, 6.324485], [25.224098, 1.0371232], [43.01263, 5.7907066]]; classify the embedding [7.1398787,-7.717052] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,"""walking upstairs"""
1,"The following given embeddings correspond to ""walking upstairs"": [[2.3993125, 2.9032435], [4.366782, -9.543303], [0.65289956, 9.131089]], and the following given embeddings correspond to ""jogging"": [[27.651657, 1.6925467], [37.54154, -9.629216], [34.59499, -10.80036]]; classify the embedding [-0.57597184,13.416213] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,walking upstairs
2,"The following given embeddings correspond to ""walking upstairs"": [[8.896055, -11.201985], [10.00221, -15.195515], [39.49697, -33.193176]], and the following given embeddings correspond to ""jogging"": [[38.689854, 1.8293967], [41.97617, 12.927231], [36.06752, 5.8449407]]; classify the embedding [32.17524,-32.19487] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,"""walking upstairs"""
3,"The following given embeddings correspond to ""walking upstairs"": [[7.257254, -6.444615], [20.055172, -34.863754], [4.951733, -13.539399]], and the following given embeddings correspond to ""jogging"": [[26.953796, 7.8094616], [46.80663, 4.5565634], [36.93206, 2.106043]]; classify the embedding [3.1030264,4.842977] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,jogging
4,"The following given embeddings correspond to ""walking upstairs"": [[2.6744492, -8.830201], [-7.8587685, -1.662326], [3.045066, -16.071459]], and the following given embeddings correspond to ""jogging"": [[22.154926, 1.1605215], [39.25077, -6.755963], [31.944155, -2.0944273]]; classify the embedding [15.277095,-10.620498] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,jogging
5,"The following given embeddings correspond to ""walking upstairs"": [[4.819026, -6.8533363], [3.1030264, 4.842977], [-2.5514135, -5.647672]], and the following given embeddings correspond to ""jogging"": [[25.986763, 1.9930112], [35.417088, 4.769525], [37.54154, -9.629216]]; classify the embedding [3.3138595,-9.43954] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,"""walking upstairs"""
6,"The following given embeddings correspond to ""walking upstairs"": [[-6.493414, -5.3799944], [0.65289956, 9.131089], [7.3969975, -4.7102137]], and the following given embeddings correspond to ""jogging"": [[34.631256, -9.183424], [35.027134, 2.3551004], [33.62734, 11.440194]]; classify the embedding [-0.11624465,-9.350873] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,walking upstairs
7,"The following given embeddings correspond to ""walking upstairs"": [[-5.3850393, -2.0407043], [10.761646, -4.703828], [7.257254, -6.444615]], and the following given embeddings correspond to ""jogging"": [[44.647305, -9.284542], [44.715607, 12.847107], [29.150114, 1.084353]]; classify the embedding [-1.8941493,-2.9685626] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,walking upstairs
8,"The following given embeddings correspond to ""walking upstairs"": [[4.897863, -12.029958], [7.1398787, -7.717052], [2.0370352, 3.47346]], and the following given embeddings correspond to ""jogging"": [[38.45253, -3.0021343], [38.99644, -7.460116], [27.095982, -4.129243]]; classify the embedding [2.5054634,5.83932] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,"""walking upstairs"""
9,"The following given embeddings correspond to ""walking upstairs"": [[-7.8587685, -1.662326], [14.39995, -1.5369828], [15.076846, -1.9038138]], and the following given embeddings correspond to ""jogging"": [[35.266525, 7.981969], [40.986687, 13.948605], [35.027134, 2.3551004]]; classify the embedding [4.549535,-8.530022] as either ""walking upstairs"" or ""jogging"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Walking upstairs,"""walking upstairs"""
