embedding,labels
"0.2137753,5.93148,3.0031621,0.71868604,-0.096001275,0.59901637,-0.40079257,0.20145206,0.09072512,0.7083504",3
"-0.4625501,2.283309,4.830351,1.2833338,-0.4249617,0.35576272,0.33681148,0.49404094,0.63910025,0.031832777",3
"-0.08775389,1.630066,0.899384,0.41700175,-0.17007188,-0.44797847,0.009084478,-0.23430875,-0.6476944,-0.9747309",3
"-0.4715138,5.1067414,-0.15627007,0.18849777,-0.14189437,0.37480107,0.16531715,-0.553661,0.7839075,0.08149752",3
"0.6983727,-1.2487001,-0.7374388,0.69607466,-1.0167736,-0.421363,0.4343712,-0.4648303,0.32192087,-1.1367576",4
"0.51672125,6.672492,-3.3362017,-0.5615117,0.25559437,0.19993137,-0.08855381,0.069905534,1.2632587,0.51851714",2
"-6.915115,-1.8251361,-4.0154095,-0.5504395,-0.17975645,-0.089913525,0.56904703,0.12124503,0.047934122,-0.23569535",2
"2.3521464,1.4361382,-0.021217382,0.5717161,-0.21033296,-0.15820971,-0.9677837,0.7518273,-1.3039768,-1.4961822",4
"0.21596742,4.4927635,-0.68946695,0.19436453,-0.2937737,-0.8605207,0.013396384,-0.2875849,0.412358,-0.7684232",3
"3.6629398,-3.731146,1.9830546,0.19441715,-1.1736612,-0.02540667,1.0644445,0.88698894,0.22405556,-0.06557898",4
"0.7991493,1.7552795,-1.9055631,-0.40369177,0.42945296,0.59300256,0.8208158,1.0347098,0.85090023,-0.3947277",3
"-0.12921154,-0.96962905,0.1197432,-0.591961,-0.4838933,-0.0659606,1.2490354,0.5540221,-0.4002017,0.9659587",0
"-0.34418702,4.1215158,2.6401649,-0.060903963,-1.5640754,1.5067928,0.77601844,-0.9169964,0.24978593,0.9939313",3
"1.0145608,-0.14645842,6.82986,0.98424083,-0.48056304,-0.49229667,0.21810293,0.10539364,0.40841377,0.34767053",2
"3.0883427,-4.679799,1.4267774,-0.37006864,-0.4156137,0.5033969,0.6792814,-1.2382162,-0.36087176,0.8330759",5
"0.24573688,6.367431,-3.7791932,-0.86939657,0.031362835,0.2247776,0.22460613,-0.3625151,1.0824282,0.44945857",2
"0.06889473,5.7110524,3.7716594,0.9400255,0.10414164,0.44823885,-0.25871602,-0.12369379,0.14288388,0.41124022",2
"-3.8940177,2.6205442,-2.200689,-0.869231,-1.089883,-0.3125481,1.5239279,0.41113284,1.1455835,0.24450305",3
"4.622347,-2.2243629,-0.31990537,0.7875985,-0.7613415,-0.9519846,0.35479343,0.034949586,-1.8064249,-0.30414665",5
"3.894206,-1.1459926,-0.6286125,-0.72438055,0.63598514,1.5463605,1.4541165,-0.5382284,0.04720289,0.7120687",1
"0.5506803,1.1672448,5.127927,2.4607327,-0.61910886,-0.3409757,-0.8661556,-0.4607063,0.71664155,-0.48295936",3
"-4.9774756,-4.229914,-4.4342237,-0.6320498,-0.09893044,0.16925249,0.6020993,-0.17576425,0.43413058,0.11072709",2
"-7.0211816,-1.4623592,-4.0113564,-0.48377067,0.17225553,-0.08966547,0.5860419,0.11515753,0.50388277,-0.2462776",2
"3.1949525,0.6802281,-0.3974179,-0.7100721,0.38330775,1.0089556,0.99182975,0.55451614,0.79246503,0.64513457",1
"-6.75051,-2.3291426,-4.0083117,-0.5497646,-0.13235728,0.028260406,0.4819229,0.15108941,0.060480107,-0.2686424",2
"0.3161332,6.509934,-3.944135,-0.924899,-0.1757556,0.21744485,0.44202957,-0.5842614,1.1593653,0.50920343",2
"-0.33368647,0.6979853,0.9622569,0.19995548,-0.20016813,-0.6148771,-0.29326865,-0.25308934,-0.68739104,-0.79096836",4
"1.5706335,0.6013781,-0.097972676,-0.14381833,0.28098533,1.0727544,1.4841249,2.075177,0.454164,0.87001306",5
"4.797567,-5.6272593,0.90828997,-0.22452584,-0.5135071,0.7169612,0.3289782,-0.6435184,-1.0465243,-0.44157934",5
"1.1763046,-0.67884827,6.811703,0.81754094,-0.64525795,-0.35558653,0.24021444,0.6904325,0.6930063,0.06852486",2
"3.3620431,-0.13917047,-0.89329827,-0.1959715,-0.085962474,-0.5583887,0.29818615,1.1622094,1.7636338,0.1792973",1
"4.6599936,-5.7286396,0.56469977,0.104625925,-0.34140256,0.1966101,0.15543629,-0.5502996,-0.6358465,-1.136672",5
"1.1067382,0.054689467,6.722633,0.58537793,-0.45630202,-0.265174,0.35234508,0.3652371,0.3677375,0.27772024",2
"-0.3629572,3.9041934,0.12446345,0.2614186,-0.28497058,-0.2539093,0.46731055,-0.34775355,0.559672,-0.4309059",3
"-0.79891455,5.280506,0.5218,0.39221132,-0.20756097,0.88993543,0.0978087,-0.40032047,0.64944506,0.4224252",3
"-0.64514333,2.921884,3.8295069,0.5605534,-1.0315099,1.1149621,0.90357274,0.57699674,0.0074263345,0.9175867",3
"-0.59794635,5.071166,1.2267739,0.20485984,-1.1594601,1.049792,0.4426865,-0.81526864,1.1326044,0.74978775",3
"3.3819835,-3.0648682,0.80157644,1.4644637,-0.19280843,-0.2671932,-0.19375986,1.4376576,-0.31895053,-0.8181183",5
"-0.16206409,6.153832,2.0732431,0.6641455,0.111181885,0.80065686,-0.28285334,-0.27330846,0.33511502,0.5758936",3
"-6.620249,-3.0994947,-4.04797,-0.5458195,-0.2678261,0.11152511,0.47184104,0.19035897,0.028012676,-0.22410257",2
"-6.6385303,-3.7065547,-3.9887078,-0.57963187,-0.37842664,0.26731512,0.40165108,0.22827548,0.05548219,-0.25456688",2
"1.2802726,0.19603653,6.591474,0.43403468,-0.34939435,-0.13193724,0.46929646,0.34212834,0.31560987,0.37252176",2
"1.681026,0.1549509,6.427779,0.5719907,-0.0991487,0.09060515,0.6106043,0.4078957,0.07799931,0.4680917",2
"-3.8385022,-0.085010186,-2.530173,-0.67304456,-0.10402149,1.7643505,0.8045592,0.8089549,1.9906706,0.8926557",0
"-0.26525134,6.3283834,-3.347198,-1.0296481,-0.7164512,-0.19970788,0.7583677,-0.5969161,1.1282263,0.38324347",2
"-0.3711819,4.811599,-0.31766838,0.35117528,0.08451139,0.3216053,0.21407458,-1.1034245,0.92510056,-0.07718791",3
