query,ground_truth
"The following given embeddings correspond to ""running"": [[37.50333, 22.209463], [36.892086, 21.456062], [45.347446, 22.062105], [45.268414, 20.253239], [37.61507, 23.135216], [42.87527, 24.007868], [47.858807, 18.990877], [-51.65315, 28.935444], [38.218605, 21.59371], [44.29344, 17.186693]], and the following given embeddings correspond to ""walking"": [[44.650093, -19.553457], [43.0692, -23.909914], [16.145353, -1.4716158], [42.146168, -24.1333], [14.460935, -2.0825872], [32.860195, -9.475853], [38.2519, -24.37515], [9.998389, 20.315365], [18.533033, 3.931787], [38.89863, -12.712068]]; classify the embedding [44.936287,22.668007] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[47.12347, 21.36826], [39.028275, 20.477558], [45.268414, 20.253239], [38.914585, 23.843584], [38.615864, 19.930098], [40.110134, 13.4304], [42.87527, 24.007868], [43.483093, 18.506922], [45.06938, 23.310162], [36.974518, 22.52032]], and the following given embeddings correspond to ""walking"": [[39.91629, -22.224989], [10.873066, -6.8854556], [1.8509145, -10.019073], [18.964876, 31.308252], [14.149806, -11.014992], [33.4977, -14.859808], [42.67287, -15.683033], [6.5547714, 23.186588], [4.7106843, -9.130939], [40.475998, -13.564489]]; classify the embedding [37.50333,22.209463] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[36.892086, 21.456062], [46.164448, 21.831503], [37.392735, 19.94936], [38.062706, 24.603628], [41.30956, 18.779577], [42.869778, 14.43445], [38.615864, 19.930098], [45.527416, 19.07033], [-51.78822, 43.823277], [42.87527, 24.007868]], and the following given embeddings correspond to ""walking"": [[11.838466, -25.112299], [8.075888, -4.767605], [15.490502, -27.501982], [1.8509145, -10.019073], [9.229146, -22.128345], [38.2519, -24.37515], [-4.725772, 25.040297], [15.507034, -1.5798197], [37.438194, -16.405207], [8.545743, -3.4255764]]; classify the embedding [39.64635,22.48858] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[43.483093, 18.506922], [41.469093, 16.527523], [45.015457, 24.849972], [41.788853, 25.008892], [37.392735, 19.94936], [39.64635, 22.48858], [40.65437, 23.670313], [45.06938, 23.310162], [45.268414, 20.253239], [46.10215, 20.09422]], and the following given embeddings correspond to ""walking"": [[9.779218, -21.664537], [8.397523, -3.5051088], [42.146168, -24.1333], [6.085409, -3.953685], [12.886021, -26.19473], [38.10217, -14.917104], [34.808086, -17.616337], [35.304634, -15.7059355], [14.149806, -11.014992], [17.976797, 2.3336117]]; classify the embedding [43.35958,26.250525] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[45.268414, 20.253239], [45.347446, 22.062105], [37.392735, 19.94936], [41.21415, 24.242815], [47.858807, 18.990877], [45.06938, 23.310162], [-51.78822, 43.823277], [43.316364, 16.149607], [44.936287, 22.668007], [45.015457, 24.849972]], and the following given embeddings correspond to ""walking"": [[39.88772, -9.54931], [34.808086, -17.616337], [18.533033, 3.931787], [10.825653, -23.374184], [42.004124, -13.51581], [13.161567, -21.197258], [12.159287, -22.377083], [-4.725772, 25.040297], [-13.654222, -17.881851], [16.145353, -1.4716158]]; classify the embedding [43.483093,18.506922] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[44.29344, 17.186693], [46.164448, 21.831503], [42.869778, 14.43445], [37.392735, 19.94936], [38.062706, 24.603628], [36.892086, 21.456062], [38.77003, 22.522287], [37.50333, 22.209463], [43.316364, 16.149607], [52.454994, -10.533586]], and the following given embeddings correspond to ""walking"": [[39.10355, -12.431296], [39.88772, -9.54931], [5.521214, -6.5650597], [10.825653, -23.374184], [-11.430826, 17.374256], [12.30492, -26.080948], [20.523258, -10.898125], [41.324547, -25.51758], [18.299555, -18.606882], [5.359641, -6.441677]]; classify the embedding [37.817936,19.602089] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[43.965477, 23.849342], [44.614357, 19.670942], [52.454994, -10.533586], [47.858807, 18.990877], [42.87527, 24.007868], [42.869778, 14.43445], [45.268414, 20.253239], [45.347446, 22.062105], [38.77003, 22.522287], [41.30956, 18.779577]], and the following given embeddings correspond to ""walking"": [[1.5574089, -15.68123], [12.30492, -26.080948], [44.650093, -19.553457], [9.779218, -21.664537], [31.926905, -14.5292635], [39.88772, -9.54931], [-27.956968, -18.650179], [33.4977, -14.859808], [12.244444, -24.20971], [26.52219, -24.913277]]; classify the embedding [36.892086,21.456062] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[43.316364, 16.149607], [39.566772, 19.1194], [36.892086, 21.456062], [44.614357, 19.670942], [47.12347, 21.36826], [46.012577, 18.491158], [45.527416, 19.07033], [46.10215, 20.09422], [40.385628, 25.766357], [40.65437, 23.670313]], and the following given embeddings correspond to ""walking"": [[39.323082, -9.563246], [1.5574089, -15.68123], [1.8509145, -10.019073], [-7.1619444, 5.4088507], [11.649512, -26.174295], [18.932629, -11.322475], [10.136188, -19.731356], [5.521214, -6.5650597], [43.05202, -22.592339], [19.495188, -8.685626]]; classify the embedding [37.392735,19.94936] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[42.308662, 24.38351], [39.64635, 22.48858], [43.483093, 18.506922], [45.527416, 19.07033], [39.566772, 19.1194], [45.347446, 22.062105], [3.8472636, 31.301373], [39.142193, 19.442175], [41.21415, 24.242815], [38.251728, 23.126282]], and the following given embeddings correspond to ""walking"": [[18.449814, 1.3215407], [23.023485, -10.028012], [42.004124, -13.51581], [6.5547714, 23.186588], [7.2449784, -3.3163252], [12.159287, -22.377083], [3.8808153, -7.6582804], [-22.997498, -8.541524], [33.47587, -16.21089], [16.145353, -1.4716158]]; classify the embedding [38.615864,19.930098] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[41.788853, 25.008892], [47.12347, 21.36826], [52.454994, -10.533586], [39.64635, 22.48858], [46.164448, 21.831503], [45.123966, 24.720675], [40.739983, 25.239948], [37.392735, 19.94936], [46.012577, 18.491158], [38.062706, 24.603628]], and the following given embeddings correspond to ""walking"": [[38.10217, -14.917104], [-38.504726, -24.188517], [37.711082, -21.450138], [39.19676, -21.625946], [38.43288, -12.259939], [41.65392, -11.621094], [-7.1619444, 5.4088507], [19.495188, -8.685626], [18.533033, 3.931787], [17.11914, -1.2316215]]; classify the embedding [41.30956,18.779577] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
