query,ground_truth
"The following given embeddings correspond to ""running"": [[15.952533, 3.0000794, 12.352708], [15.462737, 2.5035064, 11.631779], [20.796904, 6.5212655, 12.272084]], and the following given embeddings correspond to ""walking"": [[13.703538, -6.1375475, -9.105899], [15.293227, -8.7797, -8.187674], [8.015017, 4.2738085, 1.741532]]; classify the embedding [20.064333,6.2934637,12.7411995] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.219995, 7.7834263, 11.097967], [17.602957, 1.428199, 11.527821], [21.205141, 6.042098, 10.623115]], and the following given embeddings correspond to ""walking"": [[12.974236, -9.56101, -6.1070533], [5.523883, -3.7491138, -2.1273708], [0.30199793, -4.4381704, -4.416643]]; classify the embedding [15.952533,3.0000794,12.352708] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[15.462737, 2.5035064, 11.631779], [19.927843, 7.171526, 11.729953], [16.392866, 2.0622876, 10.540801]], and the following given embeddings correspond to ""walking"": [[4.6516733, -8.050206, -7.865339], [2.404807, -4.7627196, -0.6970108], [7.7650957, -7.7308865, -5.81052]]; classify the embedding [17.195398,2.268922,13.922417] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.893517, 4.331914, 9.323364], [17.81831, 3.467885, 7.851231], [18.413939, 7.7820845, 13.209509]], and the following given embeddings correspond to ""walking"": [[4.0581913, -6.568536, -10.450677], [2.9207978, -3.591247, -0.11715765], [14.328124, -9.561307, -8.343927]]; classify the embedding [16.846104,7.3688116,13.458497] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[21.205141, 6.042098, 10.623115], [20.796904, 6.5212655, 12.272084], [16.392866, 2.0622876, 10.540801]], and the following given embeddings correspond to ""walking"": [[17.684958, -5.482888, -7.799983], [14.348221, -9.339607, -3.3469713], [9.410328, -0.45426202, 0.6415563]]; classify the embedding [19.893517,4.331914,9.323364] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.186705, 5.632674, 8.533388], [19.927843, 7.171526, 11.729953], [17.57696, 5.902871, 8.007169]], and the following given embeddings correspond to ""walking"": [[18.161413, -5.5471067, -4.4671755], [17.684958, -5.482888, -7.799983], [1.0025564, -5.6318574, -1.0404019]]; classify the embedding [16.954256,2.875008,10.627511] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.27056, 6.659017, 14.0533], [20.852274, 5.2211747, 10.274043], [21.361135, -9.254415, -5.7344604]], and the following given embeddings correspond to ""walking"": [[-0.31693202, -0.558733, -7.2607746], [5.145226, -9.037187, -7.3286333], [13.703538, -6.1375475, -9.105899]]; classify the embedding [15.462737,2.5035064,11.631779] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[18.388147, 5.100166, 7.9448304], [17.78996, 1.7366153, 9.890227], [15.462737, 2.5035064, 11.631779]], and the following given embeddings correspond to ""walking"": [[18.241701, -5.482598, -7.297332], [-0.31693202, -0.558733, -7.2607746], [0.30199793, -4.4381704, -4.416643]]; classify the embedding [16.392866,2.0622876,10.540801] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[18.223766, 5.7309947, 14.47932], [17.195398, 2.268922, 13.922417], [19.893517, 4.331914, 9.323364]], and the following given embeddings correspond to ""walking"": [[10.67766, 1.6503698, 1.4347538], [12.421373, 0.6831558, -4.921088], [15.847081, -3.7835255, -5.885294]]; classify the embedding [18.108963,2.3141677,11.408981] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[17.472271, 5.8382096, 14.112385], [19.219995, 7.7834263, 11.097967], [21.361135, -9.254415, -5.7344604]], and the following given embeddings correspond to ""walking"": [[17.939587, -6.9685225, -2.9789066], [-14.349237, -4.4198403, -12.359778], [14.378369, -10.037275, -5.6152854]]; classify the embedding [19.23801,2.9380867,9.484176] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[18.413939, 7.7820845, 13.209509], [18.388147, 5.100166, 7.9448304], [16.106474, 5.5690436, 13.3413725]], and the following given embeddings correspond to ""walking"": [[17.939587, -6.9685225, -2.9789066], [-8.8497505, -2.0273774, -0.9886575], [0.30199793, -4.4381704, -4.416643]]; classify the embedding [16.94853,3.6847339,12.640066] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[18.972475, 5.5926166, 14.273651], [20.809742, 4.892649, 9.523975], [19.219995, 7.7834263, 11.097967]], and the following given embeddings correspond to ""walking"": [[5.8903675, -6.808743, -9.532154], [12.210823, -9.614066, -1.8161722], [7.7650957, -7.7308865, -5.81052]]; classify the embedding [18.531796,1.9454986,10.165269] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[20.796904, 6.5212655, 12.272084], [19.27056, 6.659017, 14.0533], [19.899002, 6.9543905, 13.178738]], and the following given embeddings correspond to ""walking"": [[10.771215, -5.566921, -6.858809], [11.716543, -10.183095, -9.34291], [0.81089085, -6.724077, -2.103543]]; classify the embedding [16.059355,4.7115035,14.348279] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[18.108963, 2.3141677, 11.408981], [15.607648, 3.026518, 14.199065], [18.388147, 5.100166, 7.9448304]], and the following given embeddings correspond to ""walking"": [[5.5711994, 12.018643, 2.1620996], [10.317552, 0.5632106, -4.342725], [2.9207978, -3.591247, -0.11715765]]; classify the embedding [19.186705,5.632674,8.533388] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[17.427925, 4.9897003, 15.04295], [15.952533, 3.0000794, 12.352708], [17.602957, 1.428199, 11.527821]], and the following given embeddings correspond to ""walking"": [[10.127116, 1.522207, -6.357776], [2.080369, -7.1625347, -8.271905], [15.344922, 0.8826288, -5.787821]]; classify the embedding [21.205141,6.042098,10.623115] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.27056, 6.659017, 14.0533], [20.809742, 4.892649, 9.523975], [16.067972, 3.8174908, 12.839574]], and the following given embeddings correspond to ""walking"": [[15.344922, 0.8826288, -5.787821], [2.482104, -5.867122, -2.8321002], [4.04092, -4.724473, -10.897139]]; classify the embedding [15.39843,3.6459744,12.124965] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[16.067972, 3.8174908, 12.839574], [-17.395308, 6.7836566, 18.45464], [17.176529, 3.684712, 13.843541]], and the following given embeddings correspond to ""walking"": [[16.30379, -8.905586, -2.6992579], [7.400933, 4.459349, 1.9192793], [17.939587, -6.9685225, -2.9789066]]; classify the embedding [21.361135,-9.254415,-5.7344604] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[15.607648, 3.026518, 14.199065], [19.899002, 6.9543905, 13.178738], [20.317598, 8.160601, 12.369241]], and the following given embeddings correspond to ""walking"": [[2.404807, -4.7627196, -0.6970108], [0.78688115, -5.610171, -0.8259307], [16.179295, -12.479907, -1.7731187]]; classify the embedding [17.991545,4.440732,7.1475635] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[17.57696, 5.902871, 8.007169], [16.954256, 2.875008, 10.627511], [17.472271, 5.8382096, 14.112385]], and the following given embeddings correspond to ""walking"": [[10.2937, 1.1577073, 0.3391167], [4.6516733, -8.050206, -7.865339], [14.328124, -9.561307, -8.343927]]; classify the embedding [15.583603,3.1062279,10.712685] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[16.106474, 5.5690436, 13.3413725], [18.388147, 5.100166, 7.9448304], [17.582037, 1.277249, 10.468105]], and the following given embeddings correspond to ""walking"": [[13.703538, -6.1375475, -9.105899], [14.079676, -8.427567, -8.65757], [9.875649, 2.2311683, -5.1763616]]; classify the embedding [20.317598,8.160601,12.369241] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[15.516553, 5.108799, 10.043698], [16.846104, 7.3688116, 13.458497], [17.427925, 4.9897003, 15.04295]], and the following given embeddings correspond to ""walking"": [[-1.5008018, -3.6081235, -5.922854], [5.523883, -3.7491138, -2.1273708], [-9.338747, -6.2147202, -1.3027861]]; classify the embedding [16.106474,5.5690436,13.3413725] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
