query,ground_truth
"The following given embeddings correspond to ""running"": [[15.952533, 3.0000794, 12.352708], [15.462737, 2.5035064, 11.631779], [20.796904, 6.5212655, 12.272084], [21.205141, 6.042098, 10.623115], [16.067972, 3.8174908, 12.839574], [18.972475, 5.5926166, 14.273651], [22.348057, 7.661956, 8.784566], [-12.5959215, 0.47831213, 14.662533], [16.269249, 1.9630531, 12.814891], [19.186705, 5.632674, 8.533388], [17.612843, 2.9210837, 12.798768], [19.893517, 4.331914, 9.323364], [17.582037, 1.277249, 10.468105], [19.927843, 7.171526, 11.729953], [19.23801, 2.9380867, 9.484176], [15.583603, 3.1062279, 10.712685], [16.392866, 2.0622876, 10.540801], [16.954256, 2.875008, 10.627511], [19.899002, 6.9543905, 13.178738], [16.106474, 5.5690436, 13.3413725], [17.472271, 5.8382096, 14.112385], [-1.7132396, 11.941211, 9.911956], [18.388147, 5.100166, 7.9448304], [18.413939, 7.7820845, 13.209509], [21.361135, -9.254415, -5.7344604]], and the following given embeddings correspond to ""walking"": [[13.703538, -6.1375475, -9.105899], [15.293227, -8.7797, -8.187674], [8.015017, 4.2738085, 1.741532], [14.328124, -9.561307, -8.343927], [6.3962383, 4.649857, 1.5517771], [16.298368, -6.349043, 2.5417175], [11.716543, -10.183095, -9.34291], [5.2254825, 3.7076302, 8.72346], [9.410328, -0.45426202, 0.6415563], [17.743307, -5.0264096, -4.548537], [14.826003, -13.37453, -2.7900481], [9.471576, 0.2538313, -0.31184703], [10.2937, 1.1577073, 0.3391167], [-14.349237, -4.4198403, -12.359778], [2.7517295, -5.7461157, -2.7141213], [15.344922, 0.8826288, -5.787821], [12.421373, 0.6831558, -4.921088], [17.71821, -3.3513646, -5.4612274], [-8.8497505, -2.0273774, -0.9886575], [5.2544146, -8.380921, -9.864535], [10.317552, 0.5632106, -4.342725], [5.5682263, 12.025255, 2.1486852], [1.7490265, -5.891655, -3.3429606], [-9.731971, -5.5981984, -3.3806589], [14.378369, -10.037275, -5.6152854]]; classify the embedding [20.064333,6.2934637,12.7411995] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.219995, 7.7834263, 11.097967], [17.602957, 1.428199, 11.527821], [21.205141, 6.042098, 10.623115], [17.176529, 3.684712, 13.843541], [18.108963, 2.3141677, 11.408981], [15.516553, 5.108799, 10.043698], [18.972475, 5.5926166, 14.273651], [19.893517, 4.331914, 9.323364], [19.899002, 6.9543905, 13.178738], [15.39843, 3.6459744, 12.124965], [18.388147, 5.100166, 7.9448304], [19.186705, 5.632674, 8.533388], [-17.395308, 6.7836566, 18.45464], [20.796904, 6.5212655, 12.272084], [-1.4703851, -3.186313, -5.4343762], [20.809742, 4.892649, 9.523975], [22.348057, 7.661956, 8.784566], [16.954256, 2.875008, 10.627511], [16.059355, 4.7115035, 14.348279], [18.223766, 5.7309947, 14.47932], [17.582037, 1.277249, 10.468105], [17.195398, 2.268922, 13.922417], [17.991545, 4.440732, 7.1475635], [17.78996, 1.7366153, 9.890227], [15.607648, 3.026518, 14.199065]], and the following given embeddings correspond to ""walking"": [[12.974236, -9.56101, -6.1070533], [5.523883, -3.7491138, -2.1273708], [0.30199793, -4.4381704, -4.416643], [5.5682263, 12.025255, 2.1486852], [6.4734297, 1.7330297, -4.089141], [13.856927, -8.491576, -1.011014], [16.38347, -5.3946614, -7.6860676], [3.9870143, 5.542096, 10.928677], [2.482104, -5.867122, -2.8321002], [15.914999, -4.815794, -4.770378], [7.400933, 4.459349, 1.9192793], [7.7351046, -7.7285104, -5.7997746], [-9.338747, -6.2147202, -1.3027861], [2.7443914, -2.530182, -0.78301084], [10.771215, -5.566921, -6.858809], [3.078835, -3.8766983, 0.05574545], [-0.31693202, -0.558733, -7.2607746], [9.944285, -5.0646, -6.791548], [8.959301, -9.900174, -9.970779], [17.939587, -6.9685225, -2.9789066], [5.3473587, -8.7162, -9.290831], [2.080369, -7.1625347, -8.271905], [0.7702635, 3.8451457, -10.503026], [15.344922, 0.8826288, -5.787821], [10.165518, 0.62729555, -4.926316]]; classify the embedding [15.952533,3.0000794,12.352708] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[15.462737, 2.5035064, 11.631779], [19.927843, 7.171526, 11.729953], [16.392866, 2.0622876, 10.540801], [15.607648, 3.026518, 14.199065], [19.23801, 2.9380867, 9.484176], [17.57696, 5.902871, 8.007169], [18.108963, 2.3141677, 11.408981], [20.55223, 6.2272706, 9.375511], [-17.395308, 6.7836566, 18.45464], [18.972475, 5.5926166, 14.273651], [18.531796, 1.9454986, 10.165269], [16.106474, 5.5690436, 13.3413725], [16.520397, 5.497047, 14.027272], [15.39843, 3.6459744, 12.124965], [20.712236, 6.9560046, 10.41832], [18.413939, 7.7820845, 13.209509], [16.846104, 7.3688116, 13.458497], [15.583603, 3.1062279, 10.712685], [16.067972, 3.8174908, 12.839574], [17.991545, 4.440732, 7.1475635], [15.952533, 3.0000794, 12.352708], [19.219995, 7.7834263, 11.097967], [17.176529, 3.684712, 13.843541], [19.893517, 4.331914, 9.323364], [19.186705, 5.632674, 8.533388]], and the following given embeddings correspond to ""walking"": [[4.6516733, -8.050206, -7.865339], [2.404807, -4.7627196, -0.6970108], [7.7650957, -7.7308865, -5.81052], [0.30199793, -4.4381704, -4.416643], [4.424099, -7.2364345, -11.1956], [11.716543, -10.183095, -9.34291], [-3.6550145, 5.5232444, 7.107501], [7.400933, 4.459349, 1.9192793], [17.64557, -8.783308, -1.8359306], [3.078835, -3.8766983, 0.05574545], [-9.731971, -5.5981984, -3.3806589], [15.337551, -8.179972, -2.5136564], [4.04092, -4.724473, -10.897139], [13.816981, -0.066433996, -4.418985], [10.2937, 1.1577073, 0.3391167], [1.6240706, 4.8622046, -9.394636], [4.942279, -7.3467417, -8.332469], [6.712798, -5.7477336, -9.730964], [17.177746, -7.746843, -3.193882], [16.38347, -5.3946614, -7.6860676], [10.125663, -1.1680912, -5.818667], [5.145226, -9.037187, -7.3286333], [17.71821, -3.3513646, -5.4612274], [12.974236, -9.56101, -6.1070533], [15.625417, -10.940012, -7.666685]]; classify the embedding [17.195398,2.268922,13.922417] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.893517, 4.331914, 9.323364], [17.81831, 3.467885, 7.851231], [18.413939, 7.7820845, 13.209509], [17.472271, 5.8382096, 14.112385], [16.392866, 2.0622876, 10.540801], [17.195398, 2.268922, 13.922417], [18.010885, 4.1376066, 14.584188], [19.899002, 6.9543905, 13.178738], [21.205141, 6.042098, 10.623115], [20.712236, 6.9560046, 10.41832], [20.36709, 6.478656, 9.879722], [20.819475, 7.6791496, 11.89333], [19.219995, 7.7834263, 11.097967], [17.612843, 2.9210837, 12.798768], [17.602957, 1.428199, 11.527821], [18.531796, 1.9454986, 10.165269], [17.176529, 3.684712, 13.843541], [20.796904, 6.5212655, 12.272084], [17.78996, 1.7366153, 9.890227], [15.516553, 5.108799, 10.043698], [20.064333, 6.2934637, 12.7411995], [20.852274, 5.2211747, 10.274043], [18.223766, 5.7309947, 14.47932], [19.927843, 7.171526, 11.729953], [-17.395308, 6.7836566, 18.45464]], and the following given embeddings correspond to ""walking"": [[4.0581913, -6.568536, -10.450677], [2.9207978, -3.591247, -0.11715765], [14.328124, -9.561307, -8.343927], [2.7357814, -2.3198974, -2.3235064], [5.809944, -9.114261, -7.338294], [17.939587, -6.9685225, -2.9789066], [14.348221, -9.339607, -3.3469713], [15.337551, -8.179972, -2.5136564], [6.4734297, 1.7330297, -4.089141], [10.2937, 1.1577073, 0.3391167], [17.64557, -8.783308, -1.8359306], [-10.487016, -4.4281006, 3.0102215], [15.346214, -9.412479, -4.211944], [3.078835, -3.8766983, 0.05574545], [18.161413, -5.5471067, -4.4671755], [-2.2354667, 5.1110344, -6.7792883], [12.210823, -9.614066, -1.8161722], [4.3907948, -9.00593, -7.183221], [16.38347, -5.3946614, -7.6860676], [11.802194, -8.318769, -7.3404293], [4.2605743, 3.3560708, -9.164306], [7.7351046, -7.7285104, -5.7997746], [15.173542, -6.552946, -9.436403], [4.942279, -7.3467417, -8.332469], [-9.338747, -6.2147202, -1.3027861]]; classify the embedding [16.846104,7.3688116,13.458497] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[21.205141, 6.042098, 10.623115], [20.796904, 6.5212655, 12.272084], [16.392866, 2.0622876, 10.540801], [17.427925, 4.9897003, 15.04295], [22.348057, 7.661956, 8.784566], [19.899002, 6.9543905, 13.178738], [-17.395308, 6.7836566, 18.45464], [18.388147, 5.100166, 7.9448304], [20.064333, 6.2934637, 12.7411995], [18.413939, 7.7820845, 13.209509], [20.712236, 6.9560046, 10.41832], [15.39843, 3.6459744, 12.124965], [15.607648, 3.026518, 14.199065], [16.059355, 4.7115035, 14.348279], [16.269249, 1.9630531, 12.814891], [15.952533, 3.0000794, 12.352708], [17.472271, 5.8382096, 14.112385], [19.189213, 2.3788848, 9.863759], [16.954256, 2.875008, 10.627511], [17.78996, 1.7366153, 9.890227], [17.612843, 2.9210837, 12.798768], [-1.7132396, 11.941211, 9.911956], [18.972475, 5.5926166, 14.273651], [19.23801, 2.9380867, 9.484176], [20.852274, 5.2211747, 10.274043]], and the following given embeddings correspond to ""walking"": [[17.684958, -5.482888, -7.799983], [14.348221, -9.339607, -3.3469713], [9.410328, -0.45426202, 0.6415563], [5.2544146, -8.380921, -9.864535], [15.847081, -3.7835255, -5.885294], [6.712798, -5.7477336, -9.730964], [5.8903675, -6.808743, -9.532154], [-3.6550145, 5.5232444, 7.107501], [-9.338747, -6.2147202, -1.3027861], [8.015017, 4.2738085, 1.741532], [16.034853, -14.020723, -5.973705], [13.856927, -8.491576, -1.011014], [0.81089085, -6.724077, -2.103543], [5.3473587, -8.7162, -9.290831], [16.08972, -5.4427385, -7.9927254], [17.64557, -8.783308, -1.8359306], [13.816981, -0.066433996, -4.418985], [10.771215, -5.566921, -6.858809], [14.378369, -10.037275, -5.6152854], [0.7702635, 3.8451457, -10.503026], [6.341349, -1.3778207, -3.7395597], [9.471576, 0.2538313, -0.31184703], [14.808864, -10.169401, -7.271019], [-2.2354667, 5.1110344, -6.7792883], [6.4734297, 1.7330297, -4.089141]]; classify the embedding [19.893517,4.331914,9.323364] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.186705, 5.632674, 8.533388], [19.927843, 7.171526, 11.729953], [17.57696, 5.902871, 8.007169], [16.392866, 2.0622876, 10.540801], [15.607648, 3.026518, 14.199065], [15.462737, 2.5035064, 11.631779], [17.612843, 2.9210837, 12.798768], [15.952533, 3.0000794, 12.352708], [18.388147, 5.100166, 7.9448304], [21.361135, -9.254415, -5.7344604], [17.195398, 2.268922, 13.922417], [16.106474, 5.5690436, 13.3413725], [17.991545, 4.440732, 7.1475635], [19.27056, 6.659017, 14.0533], [-1.4703851, -3.186313, -5.4343762], [20.852274, 5.2211747, 10.274043], [16.94853, 3.6847339, 12.640066], [20.809742, 4.892649, 9.523975], [18.972475, 5.5926166, 14.273651], [18.413939, 7.7820845, 13.209509], [15.39843, 3.6459744, 12.124965], [-1.7132396, 11.941211, 9.911956], [20.317598, 8.160601, 12.369241], [20.55223, 6.2272706, 9.375511], [20.819475, 7.6791496, 11.89333]], and the following given embeddings correspond to ""walking"": [[18.161413, -5.5471067, -4.4671755], [17.684958, -5.482888, -7.799983], [1.0025564, -5.6318574, -1.0404019], [5.2544146, -8.380921, -9.864535], [-4.3542056, 9.268674, 0.77306217], [5.145226, -9.037187, -7.3286333], [10.478524, 0.4220755, -6.139027], [15.625417, -10.940012, -7.666685], [5.219379, 3.140362, -8.135788], [0.78688115, -5.610171, -0.8259307], [10.44253, -12.078583, -0.6639233], [12.1930485, -10.295354, -5.840923], [16.298368, -6.349043, 2.5417175], [17.939587, -6.9685225, -2.9789066], [2.080369, -7.1625347, -8.271905], [2.482104, -5.867122, -2.8321002], [8.892562, 3.6518903, 1.6985638], [16.179295, -12.479907, -1.7731187], [4.416185, -4.6075954, -1.8257301], [5.5682263, 12.025255, 2.1486852], [12.19877, -9.171128, -4.8082113], [14.674719, -9.34234, -2.4214423], [-0.22451895, -3.337944, -3.9885132], [15.346214, -9.412479, -4.211944], [5.2254825, 3.7076302, 8.72346]]; classify the embedding [16.954256,2.875008,10.627511] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[19.27056, 6.659017, 14.0533], [20.852274, 5.2211747, 10.274043], [21.361135, -9.254415, -5.7344604], [22.348057, 7.661956, 8.784566], [18.972475, 5.5926166, 14.273651], [17.57696, 5.902871, 8.007169], [21.205141, 6.042098, 10.623115], [20.796904, 6.5212655, 12.272084], [17.612843, 2.9210837, 12.798768], [19.23801, 2.9380867, 9.484176], [20.809742, 4.892649, 9.523975], [19.186705, 5.632674, 8.533388], [15.583603, 3.1062279, 10.712685], [16.106474, 5.5690436, 13.3413725], [18.567385, 7.8034825, 13.12785], [20.317598, 8.160601, 12.369241], [17.582037, 1.277249, 10.468105], [16.520397, 5.497047, 14.027272], [-17.395308, 6.7836566, 18.45464], [20.819475, 7.6791496, 11.89333], [19.893517, 4.331914, 9.323364], [15.39843, 3.6459744, 12.124965], [18.010885, 4.1376066, 14.584188], [18.388147, 5.100166, 7.9448304], [-1.4703851, -3.186313, -5.4343762]], and the following given embeddings correspond to ""walking"": [[-0.31693202, -0.558733, -7.2607746], [5.145226, -9.037187, -7.3286333], [13.703538, -6.1375475, -9.105899], [4.0581913, -6.568536, -10.450677], [11.589711, -8.54448, -2.4460986], [17.684958, -5.482888, -7.799983], [-13.60672, -6.629164, -7.6702456], [13.856927, -8.491576, -1.011014], [4.942279, -7.3467417, -8.332469], [14.550734, -15.997206, 0.9851431], [1.0583636, -5.2739644, -4.224125], [8.959301, -9.900174, -9.970779], [13.344467, -4.6403565, -9.507023], [10.395985, -8.707626, -2.8272502], [13.886773, -7.26637, -8.763884], [16.298368, -6.349043, 2.5417175], [7.7351046, -7.7285104, -5.7997746], [9.582068, -0.113363616, -5.846947], [10.165518, 0.62729555, -4.926316], [18.161413, -5.5471067, -4.4671755], [-3.8507779, -2.677561, -3.811612], [5.2544146, -8.380921, -9.864535], [1.7490265, -5.891655, -3.3429606], [12.1930485, -10.295354, -5.840923], [12.61895, -1.7123346, -8.794108]]; classify the embedding [15.462737,2.5035064,11.631779] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[18.388147, 5.100166, 7.9448304], [17.78996, 1.7366153, 9.890227], [15.462737, 2.5035064, 11.631779], [20.852274, 5.2211747, 10.274043], [19.219995, 7.7834263, 11.097967], [19.606573, 6.8537135, 9.462448], [20.55223, 6.2272706, 9.375511], [20.712236, 6.9560046, 10.41832], [16.106474, 5.5690436, 13.3413725], [18.010885, 4.1376066, 14.584188], [20.064333, 6.2934637, 12.7411995], [18.972475, 5.5926166, 14.273651], [17.602957, 1.428199, 11.527821], [19.27056, 6.659017, 14.0533], [17.472271, 5.8382096, 14.112385], [20.317598, 8.160601, 12.369241], [15.516553, 5.108799, 10.043698], [21.361135, -9.254415, -5.7344604], [-12.5959215, 0.47831213, 14.662533], [15.607648, 3.026518, 14.199065], [16.954256, 2.875008, 10.627511], [17.57696, 5.902871, 8.007169], [-1.4703851, -3.186313, -5.4343762], [20.819475, 7.6791496, 11.89333], [19.893517, 4.331914, 9.323364]], and the following given embeddings correspond to ""walking"": [[18.241701, -5.482598, -7.297332], [-0.31693202, -0.558733, -7.2607746], [0.30199793, -4.4381704, -4.416643], [-2.2354667, 5.1110344, -6.7792883], [4.3907948, -9.00593, -7.183221], [10.125663, -1.1680912, -5.818667], [4.204079, -4.8067923, -10.799751], [1.0025564, -5.6318574, -1.0404019], [14.079676, -8.427567, -8.65757], [9.875649, 2.2311683, -5.1763616], [15.573332, -5.002155, -6.2510347], [-8.949338, -1.664518, -5.34095], [2.404807, -4.7627196, -0.6970108], [9.410328, -0.45426202, 0.6415563], [7.7351046, -7.7285104, -5.7997746], [10.6963625, -12.489601, -9.364151], [15.293227, -8.7797, -8.187674], [15.384595, -4.4475756, -5.330952], [-1.5008018, -3.6081235, -5.922854], [12.61895, -1.7123346, -8.794108], [10.478524, 0.4220755, -6.139027], [14.328124, -9.561307, -8.343927], [4.416185, -4.6075954, -1.8257301], [0.81089085, -6.724077, -2.103543], [5.523883, -3.7491138, -2.1273708]]; classify the embedding [16.392866,2.0622876,10.540801] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[18.223766, 5.7309947, 14.47932], [17.195398, 2.268922, 13.922417], [19.893517, 4.331914, 9.323364], [20.55223, 6.2272706, 9.375511], [17.78996, 1.7366153, 9.890227], [20.796904, 6.5212655, 12.272084], [-1.7132396, 11.941211, 9.911956], [17.582037, 1.277249, 10.468105], [17.427925, 4.9897003, 15.04295], [16.94853, 3.6847339, 12.640066], [19.189213, 2.3788848, 9.863759], [16.846104, 7.3688116, 13.458497], [18.010885, 4.1376066, 14.584188], [17.612843, 2.9210837, 12.798768], [15.607648, 3.026518, 14.199065], [21.361135, -9.254415, -5.7344604], [20.712236, 6.9560046, 10.41832], [18.972475, 5.5926166, 14.273651], [16.059355, 4.7115035, 14.348279], [20.819475, 7.6791496, 11.89333], [-12.5959215, 0.47831213, 14.662533], [20.317598, 8.160601, 12.369241], [16.067972, 3.8174908, 12.839574], [18.567385, 7.8034825, 13.12785], [-1.4703851, -3.186313, -5.4343762]], and the following given embeddings correspond to ""walking"": [[10.67766, 1.6503698, 1.4347538], [12.421373, 0.6831558, -4.921088], [15.847081, -3.7835255, -5.885294], [3.9870143, 5.542096, 10.928677], [2.7443914, -2.530182, -0.78301084], [5.8903675, -6.808743, -9.532154], [0.81089085, -6.724077, -2.103543], [-7.43745, -1.8042891, -3.7513485], [13.629908, -9.106462, -2.0941494], [8.015017, 4.2738085, 1.741532], [22.893522, 8.05971, 8.566241], [16.179295, -12.479907, -1.7731187], [15.914999, -4.815794, -4.770378], [15.344922, 0.8826288, -5.787821], [16.38347, -5.3946614, -7.6860676], [10.797165, 0.7106506, -3.7109766], [17.743307, -5.0264096, -4.548537], [14.378369, -10.037275, -5.6152854], [2.9207978, -3.591247, -0.11715765], [3.774, -3.7752683, 0.64857894], [2.7517295, -5.7461157, -2.7141213], [16.30379, -8.905586, -2.6992579], [17.71821, -3.3513646, -5.4612274], [18.241701, -5.482598, -7.297332], [4.416185, -4.6075954, -1.8257301]]; classify the embedding [18.108963,2.3141677,11.408981] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[17.472271, 5.8382096, 14.112385], [19.219995, 7.7834263, 11.097967], [21.361135, -9.254415, -5.7344604], [17.195398, 2.268922, 13.922417], [19.927843, 7.171526, 11.729953], [18.567385, 7.8034825, 13.12785], [16.520397, 5.497047, 14.027272], [16.392866, 2.0622876, 10.540801], [19.606573, 6.8537135, 9.462448], [15.607648, 3.026518, 14.199065], [17.602957, 1.428199, 11.527821], [20.852274, 5.2211747, 10.274043], [19.186705, 5.632674, 8.533388], [20.819475, 7.6791496, 11.89333], [16.846104, 7.3688116, 13.458497], [18.223766, 5.7309947, 14.47932], [18.972475, 5.5926166, 14.273651], [18.010885, 4.1376066, 14.584188], [19.27056, 6.659017, 14.0533], [15.462737, 2.5035064, 11.631779], [20.809742, 4.892649, 9.523975], [17.57696, 5.902871, 8.007169], [18.531796, 1.9454986, 10.165269], [15.583603, 3.1062279, 10.712685], [15.516553, 5.108799, 10.043698]], and the following given embeddings correspond to ""walking"": [[17.939587, -6.9685225, -2.9789066], [-14.349237, -4.4198403, -12.359778], [14.378369, -10.037275, -5.6152854], [12.19877, -9.171128, -4.8082113], [17.750767, -5.8729897, -4.993476], [17.71821, -3.3513646, -5.4612274], [-2.2354667, 5.1110344, -6.7792883], [9.875649, 2.2311683, -5.1763616], [9.410328, -0.45426202, 0.6415563], [8.892562, 3.6518903, 1.6985638], [6.235931, -3.6611211, -10.385127], [13.629908, -9.106462, -2.0941494], [2.482104, -5.867122, -2.8321002], [11.668033, -13.277673, -0.42759106], [9.555385, 0.12845737, 0.104052015], [5.145226, -9.037187, -7.3286333], [-1.2297724, -2.440449, -4.6868095], [10.125663, -1.1680912, -5.818667], [5.809944, -9.114261, -7.338294], [7.7351046, -7.7285104, -5.7997746], [14.550734, -15.997206, 0.9851431], [10.44253, -12.078583, -0.6639233], [13.7426605, -6.3952837, -7.8005066], [12.435653, -8.761747, -5.7419496], [6.6453032, -8.907372, -6.6592116]]; classify the embedding [19.23801,2.9380867,9.484176] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running
