query,ground_truth
"The following given embeddings correspond to ""running"": [[37.50333, 22.209463], [36.892086, 21.456062], [45.347446, 22.062105]], and the following given embeddings correspond to ""walking"": [[44.650093, -19.553457], [43.0692, -23.909914], [16.145353, -1.4716158]]; classify the embedding [44.936287,22.668007] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[47.12347, 21.36826], [39.028275, 20.477558], [45.268414, 20.253239]], and the following given embeddings correspond to ""walking"": [[39.91629, -22.224989], [10.873066, -6.8854556], [1.8509145, -10.019073]]; classify the embedding [37.50333,22.209463] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[36.892086, 21.456062], [46.164448, 21.831503], [37.392735, 19.94936]], and the following given embeddings correspond to ""walking"": [[11.838466, -25.112299], [8.075888, -4.767605], [15.490502, -27.501982]]; classify the embedding [39.64635,22.48858] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[43.483093, 18.506922], [41.469093, 16.527523], [45.015457, 24.849972]], and the following given embeddings correspond to ""walking"": [[9.779218, -21.664537], [8.397523, -3.5051088], [42.146168, -24.1333]]; classify the embedding [43.35958,26.250525] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[45.268414, 20.253239], [45.347446, 22.062105], [37.392735, 19.94936]], and the following given embeddings correspond to ""walking"": [[39.88772, -9.54931], [34.808086, -17.616337], [18.533033, 3.931787]]; classify the embedding [43.483093,18.506922] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[44.29344, 17.186693], [46.164448, 21.831503], [42.869778, 14.43445]], and the following given embeddings correspond to ""walking"": [[39.10355, -12.431296], [39.88772, -9.54931], [5.521214, -6.5650597]]; classify the embedding [37.817936,19.602089] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[43.965477, 23.849342], [44.614357, 19.670942], [52.454994, -10.533586]], and the following given embeddings correspond to ""walking"": [[1.5574089, -15.68123], [12.30492, -26.080948], [44.650093, -19.553457]]; classify the embedding [36.892086,21.456062] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[43.316364, 16.149607], [39.566772, 19.1194], [36.892086, 21.456062]], and the following given embeddings correspond to ""walking"": [[39.323082, -9.563246], [1.5574089, -15.68123], [1.8509145, -10.019073]]; classify the embedding [37.392735,19.94936] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[42.308662, 24.38351], [39.64635, 22.48858], [43.483093, 18.506922]], and the following given embeddings correspond to ""walking"": [[18.449814, 1.3215407], [23.023485, -10.028012], [42.004124, -13.51581]]; classify the embedding [38.615864,19.930098] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
"The following given embeddings correspond to ""running"": [[41.788853, 25.008892], [47.12347, 21.36826], [52.454994, -10.533586]], and the following given embeddings correspond to ""walking"": [[38.10217, -14.917104], [-38.504726, -24.188517], [37.711082, -21.450138]]; classify the embedding [41.30956,18.779577] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is cosine similarity. Answer in one word.",Running
