,query,ground_truth,response
0,"The following given embeddings correspond to ""running"": [[15.952533, 3.0000794, 12.352708]], and the following given embeddings correspond to ""walking"": [[13.703538, -6.1375475, -9.105899]]; classify the embedding [20.064333,6.2934637,12.7411995] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
1,"The following given embeddings correspond to ""running"": [[19.219995, 7.7834263, 11.097967]], and the following given embeddings correspond to ""walking"": [[12.974236, -9.56101, -6.1070533]]; classify the embedding [15.952533,3.0000794,12.352708] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
2,"The following given embeddings correspond to ""running"": [[15.462737, 2.5035064, 11.631779]], and the following given embeddings correspond to ""walking"": [[4.6516733, -8.050206, -7.865339]]; classify the embedding [17.195398,2.268922,13.922417] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,Running
3,"The following given embeddings correspond to ""running"": [[19.893517, 4.331914, 9.323364]], and the following given embeddings correspond to ""walking"": [[4.0581913, -6.568536, -10.450677]]; classify the embedding [16.846104,7.3688116,13.458497] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
4,"The following given embeddings correspond to ""running"": [[21.205141, 6.042098, 10.623115]], and the following given embeddings correspond to ""walking"": [[17.684958, -5.482888, -7.799983]]; classify the embedding [19.893517,4.331914,9.323364] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
5,"The following given embeddings correspond to ""running"": [[19.186705, 5.632674, 8.533388]], and the following given embeddings correspond to ""walking"": [[18.161413, -5.5471067, -4.4671755]]; classify the embedding [16.954256,2.875008,10.627511] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
6,"The following given embeddings correspond to ""running"": [[19.27056, 6.659017, 14.0533]], and the following given embeddings correspond to ""walking"": [[-0.31693202, -0.558733, -7.2607746]]; classify the embedding [15.462737,2.5035064,11.631779] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
7,"The following given embeddings correspond to ""running"": [[18.388147, 5.100166, 7.9448304]], and the following given embeddings correspond to ""walking"": [[18.241701, -5.482598, -7.297332]]; classify the embedding [16.392866,2.0622876,10.540801] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
8,"The following given embeddings correspond to ""running"": [[18.223766, 5.7309947, 14.47932]], and the following given embeddings correspond to ""walking"": [[10.67766, 1.6503698, 1.4347538]]; classify the embedding [18.108963,2.3141677,11.408981] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
9,"The following given embeddings correspond to ""running"": [[17.472271, 5.8382096, 14.112385]], and the following given embeddings correspond to ""walking"": [[17.939587, -6.9685225, -2.9789066]]; classify the embedding [19.23801,2.9380867,9.484176] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
10,"The following given embeddings correspond to ""running"": [[18.413939, 7.7820845, 13.209509]], and the following given embeddings correspond to ""walking"": [[17.939587, -6.9685225, -2.9789066]]; classify the embedding [16.94853,3.6847339,12.640066] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
11,"The following given embeddings correspond to ""running"": [[18.972475, 5.5926166, 14.273651]], and the following given embeddings correspond to ""walking"": [[5.8903675, -6.808743, -9.532154]]; classify the embedding [18.531796,1.9454986,10.165269] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
12,"The following given embeddings correspond to ""running"": [[20.796904, 6.5212655, 12.272084]], and the following given embeddings correspond to ""walking"": [[10.771215, -5.566921, -6.858809]]; classify the embedding [16.059355,4.7115035,14.348279] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
13,"The following given embeddings correspond to ""running"": [[18.108963, 2.3141677, 11.408981]], and the following given embeddings correspond to ""walking"": [[5.5711994, 12.018643, 2.1620996]]; classify the embedding [19.186705,5.632674,8.533388] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
14,"The following given embeddings correspond to ""running"": [[17.427925, 4.9897003, 15.04295]], and the following given embeddings correspond to ""walking"": [[10.127116, 1.522207, -6.357776]]; classify the embedding [21.205141,6.042098,10.623115] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
15,"The following given embeddings correspond to ""running"": [[19.27056, 6.659017, 14.0533]], and the following given embeddings correspond to ""walking"": [[15.344922, 0.8826288, -5.787821]]; classify the embedding [15.39843,3.6459744,12.124965] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
16,"The following given embeddings correspond to ""running"": [[16.067972, 3.8174908, 12.839574]], and the following given embeddings correspond to ""walking"": [[16.30379, -8.905586, -2.6992579]]; classify the embedding [21.361135,-9.254415,-5.7344604] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""walking"""
17,"The following given embeddings correspond to ""running"": [[15.607648, 3.026518, 14.199065]], and the following given embeddings correspond to ""walking"": [[2.404807, -4.7627196, -0.6970108]]; classify the embedding [17.991545,4.440732,7.1475635] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
18,"The following given embeddings correspond to ""running"": [[17.57696, 5.902871, 8.007169]], and the following given embeddings correspond to ""walking"": [[10.2937, 1.1577073, 0.3391167]]; classify the embedding [15.583603,3.1062279,10.712685] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
19,"The following given embeddings correspond to ""running"": [[16.106474, 5.5690436, 13.3413725]], and the following given embeddings correspond to ""walking"": [[13.703538, -6.1375475, -9.105899]]; classify the embedding [20.317598,8.160601,12.369241] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,Running
20,"The following given embeddings correspond to ""running"": [[15.516553, 5.108799, 10.043698]], and the following given embeddings correspond to ""walking"": [[-1.5008018, -3.6081235, -5.922854]]; classify the embedding [16.106474,5.5690436,13.3413725] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,Running
21,"The following given embeddings correspond to ""running"": [[20.55223, 6.2272706, 9.375511]], and the following given embeddings correspond to ""walking"": [[10.127116, 1.522207, -6.357776]]; classify the embedding [15.516553,5.108799,10.043698] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,"""Running"""
22,"The following given embeddings correspond to ""running"": [[17.176529, 3.684712, 13.843541]], and the following given embeddings correspond to ""walking"": [[12.210823, -9.614066, -1.8161722]]; classify the embedding [17.602957,1.428199,11.527821] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
23,"The following given embeddings correspond to ""running"": [[20.796904, 6.5212655, 12.272084]], and the following given embeddings correspond to ""walking"": [[5.219379, 3.140362, -8.135788]]; classify the embedding [18.010885,4.1376066,14.584188] as either ""running"" or ""walking"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Running,running
