embedding,labels
"-14.722209,7.749673,-0.56085014",9
"20.064333,6.2934637,12.7411995",7
"-8.490295,7.1747255,0.09553558",3
"19.333635,-7.935788,-1.8101912",5
"10.188167,1.2208852,4.9301567",10
"8.431398,-0.19281504,2.2032804",10
"-4.26468,-15.74859,-10.889961",1
"14.916953,0.8617923,11.739584",0
"19.78455,1.6125467,1.8438704",3
"16.20909,-1.6248349,1.9326081",5
"3.6530974,7.3775015,10.259579",2
"-17.855923,6.727067,12.806681",4
"-14.598648,6.124636,-1.495297",9
"-0.93775195,5.30022,0.85077816",10
"-15.356216,7.6789293,-0.5415561",9
"0.33999246,4.2215285,11.227442",10
"8.963684,-7.3374863,-0.9913266",5
"8.355965,3.8405378,2.7003677",10
"-18.53001,5.3289237,-1.8338553",8
"21.089882,6.411955,4.2613373",2
"8.524525,1.5074844,-2.5017254",10
"-12.68903,0.61942846,-2.676046",9
"7.639385,-4.9586854,5.6631737",3
"-4.648123,-14.4452095,-11.717255",1
"14.456815,-15.982311,0.8835958",0
"16.30379,-8.905586,-2.6992579",11
"7.970046,-7.418136,-0.80790925",5
"12.198324,-7.6554236,-9.404535",5
"-3.7062464,6.912375,7.995984",10
"14.12973,-14.764094,-4.295957",2
"-15.93419,6.717297,-1.4333531",9
"-3.641698,9.17623,7.536437",3
"15.141373,2.036354,-6.0583935",10
"2.0992286,2.7731426,5.896299",5
"-17.943956,5.925592,-2.6297994",8
"-15.088378,5.9103565,-0.737135",4
"-19.465458,4.850489,-2.1906192",8
"-12.632504,0.66321725,-2.7639935",0
"-1.6899939,-17.490002,-13.92449",1
"2.8595698,0.33559686,3.9144433",3
"2.5587063,-3.8236887,-12.380862",0
"11.23781,-8.504783,-1.1441071",5
"4.04092,-4.724473,-10.897139",11
"12.233207,0.49639034,-7.172862",0
"-15.466716,6.62278,-0.30929342",9
"15.952533,3.0000794,12.352708",7
"-6.110031,8.825496,8.423188",3
"-19.102224,6.0182095,-2.3086236",8
"-17.129578,6.8005815,12.405851",4
"2.2266483,-3.7778459,-12.823702",11
"15.572883,0.13174784,-6.649506",0
"12.825926,3.9740999,-0.037188236",3
"-14.575169,6.82486,-1.0609134",9
"-13.412562,6.4329405,-0.47973597",9
"13.390895,-11.464158,-7.5282063",11
"-18.237017,6.5794034,12.910741",4
"2.1465042,-3.7691529,-12.933419",11
"0.50452495,9.953745,10.319326",10
"-4.103562,-16.248566,-9.750295",1
"-18.284378,6.678172,12.227401",4
"-19.433294,6.631344,12.832108",4
"5.6024647,8.100215,8.030951",3
"15.363548,-6.521213,-2.6768858",5
"-2.952675,-0.540589,6.483138",10
"-0.2949847,6.6113997,11.29471",3
"-3.8500957,-14.3458605,-8.572668",1
"-6.0790443,7.8324895,0.7568715",3
"12.868909,-14.151176,-2.1678326",0
"8.892562,3.6518903,1.6985638",11
"13.060733,-0.7647365,-6.3916216",5
"2.0717218,0.014280235,4.318221",3
"-8.041721,6.672042,0.29933086",10
"-13.671989,15.130345,12.419163",9
"11.744114,-19.489887,-6.787586",10
"-2.6450102,-16.122908,-10.000959",1
"-12.854897,0.552231,-2.648765",9
"17.195398,2.268922,13.922417",7
"16.846104,7.3688116,13.458497",7
"6.219167,8.254774,7.130802",2
"-15.342635,6.312747,-1.5336603",2
"4.949955,1.569895,7.6452975",10
"-17.970186,5.411858,-1.8900414",8
"-2.9518135,-15.462692,-8.815337",1
"3.7350788,0.6540847,-5.7118087",0
"16.603136,7.102554,8.1756315",6
"-9.581156,7.29885,-0.10315084",8
"7.442827,-9.372125,2.0616162",2
"-3.295268,10.501839,7.370119",3
"-3.2671454,10.215627,4.9446974",3
"-14.533554,6.3973417,-0.08028348",9
"15.173542,-6.552946,-9.436403",11
"4.990856,-1.1967232,5.7871366",3
"-3.906526,11.203297,5.152847",1
"19.893517,4.331914,9.323364",7
"-6.966936,7.490759,0.07126462",3
"15.384595,-4.4475756,-5.330952",11
"-13.996503,17.355768,13.482364",8
"12.704967,-14.948201,-2.562406",3
"14.481714,-1.7815161,-1.0030069",5
"-13.049365,16.265688,13.086988",4
"-13.665234,14.534473,13.961172",9
