query,ground_truth
"The following given embeddings correspond to ""walking upstairs"": [[-0.75086665, 17.884275, 19.062141], [-12.919419, 25.662718, 15.576942], [-15.639891, 27.32815, 3.2276714]], and the following given embeddings correspond to ""standing"": [[-12.420437, -5.3660054, -9.848012], [8.645077, -1.3262985, 6.434553], [6.764348, 7.758596, -6.0576286]]; classify the embedding [-7.8814487,30.168257,15.18948] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-17.86232, 10.758809, 10.47529], [-8.464295, 26.818647, 18.636805], [-6.5662766, 23.171757, 0.7822213]], and the following given embeddings correspond to ""standing"": [[-2.3122034, -6.5505843, -3.7494836], [12.296763, -6.83146, 1.4546301], [2.9086304, 0.6230812, -1.2331423]]; classify the embedding [-0.75086665,17.884275,19.062141] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-20.703928, 24.455555, 10.535416], [-20.24321, 16.669605, 11.780585], [2.831927, 24.231455, 4.70223]], and the following given embeddings correspond to ""standing"": [[-0.49193394, -14.048679, -15.61871], [-13.621285, -12.604707, 2.4846299], [6.7585125, 5.763059, -25.283327]]; classify the embedding [-11.371615,12.379286,8.961847] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.5303297, 28.99192, 9.666942], [-12.919419, 25.662718, 15.576942], [-36.29765, 8.302441, 9.638138]], and the following given embeddings correspond to ""standing"": [[5.8100004, -6.426788, -13.149825], [-18.563856, -20.109167, -1.3279023], [17.994335, 0.37850705, -14.050938]]; classify the embedding [-4.655153,27.418484,1.0692061] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-13.778849, 16.149841, 9.2445135], [2.831927, 24.231455, 4.70223], [-7.5479894, 13.601346, 17.268787]], and the following given embeddings correspond to ""standing"": [[17.550638, 6.1270337, -11.851272], [-16.106518, -11.038292, -13.810024], [-2.375156, -16.075346, 1.4116664]]; classify the embedding [-6.5662766,23.171757,0.7822213] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[2.831927, 24.231455, 4.70223], [-25.636265, 16.845879, -3.5901318], [-18.84518, 27.504421, 9.981673]], and the following given embeddings correspond to ""standing"": [[-5.972454, -3.2176538, -12.560256], [-4.306504, -10.457346, -19.773607], [5.3722963, 12.332556, -12.633053]]; classify the embedding [-17.47152,5.78674,10.686718] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-1.3859091, 25.493225, 19.522823], [-36.29765, 8.302441, 9.638138], [2.831927, 24.231455, 4.70223]], and the following given embeddings correspond to ""standing"": [[10.77988, 6.7889924, -15.644221], [6.023477, 7.961999, 3.348466], [-3.7815647, -9.439724, -4.8249083]]; classify the embedding [-12.919419,25.662718,15.576942] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-17.86232, 10.758809, 10.47529], [-11.371615, 12.379286, 8.961847], [1.9586881, 27.170458, 1.2698971]], and the following given embeddings correspond to ""standing"": [[15.503964, 4.601669, -17.115257], [-26.97357, -1.1725367, -6.5537753], [9.95808, 6.364844, 9.995389]]; classify the embedding [2.831927,24.231455,4.70223] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-13.778849, 16.149841, 9.2445135], [-11.371615, 12.379286, 8.961847], [-16.276045, 20.8936, 14.927042]], and the following given embeddings correspond to ""standing"": [[-7.3013997, -9.352565, 2.677455], [5.3722963, 12.332556, -12.633053], [19.286528, -6.055726, -16.02937]]; classify the embedding [-0.85438204,24.009857,6.6267843] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-14.736061, 28.054409, 10.194424], [-6.4933124, 25.609537, 15.19953], [2.831927, 24.231455, 4.70223]], and the following given embeddings correspond to ""standing"": [[1.9999478, -5.563507, 1.4494921], [-2.1467822, -10.286089, 7.3841043], [-2.375156, -16.075346, 1.4116664]]; classify the embedding [-7.4790974,12.2469015,6.197446] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-36.29765, 8.302441, 9.638138], [-10.730675, 28.255638, 13.738781], [-10.550701, 16.466503, 7.744231]], and the following given embeddings correspond to ""standing"": [[17.994335, 0.37850705, -14.050938], [-26.97357, -1.1725367, -6.5537753], [19.374535, 7.0777864, 2.6940265]]; classify the embedding [-8.464295,26.818647,18.636805] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
