,query,ground_truth,response
0,"The following given embeddings correspond to ""walking upstairs"": [[-0.75086665, 17.884275, 19.062141]], and the following given embeddings correspond to ""standing"": [[-12.420437, -5.3660054, -9.848012]]; classify the embedding [-7.8814487,30.168257,15.18948] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
1,"The following given embeddings correspond to ""walking upstairs"": [[-17.86232, 10.758809, 10.47529]], and the following given embeddings correspond to ""standing"": [[-2.3122034, -6.5505843, -3.7494836]]; classify the embedding [-0.75086665,17.884275,19.062141] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
2,"The following given embeddings correspond to ""walking upstairs"": [[-20.703928, 24.455555, 10.535416]], and the following given embeddings correspond to ""standing"": [[-0.49193394, -14.048679, -15.61871]]; classify the embedding [-11.371615,12.379286,8.961847] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
3,"The following given embeddings correspond to ""walking upstairs"": [[2.5303297, 28.99192, 9.666942]], and the following given embeddings correspond to ""standing"": [[5.8100004, -6.426788, -13.149825]]; classify the embedding [-4.655153,27.418484,1.0692061] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
4,"The following given embeddings correspond to ""walking upstairs"": [[-13.778849, 16.149841, 9.2445135]], and the following given embeddings correspond to ""standing"": [[17.550638, 6.1270337, -11.851272]]; classify the embedding [-6.5662766,23.171757,0.7822213] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
5,"The following given embeddings correspond to ""walking upstairs"": [[2.831927, 24.231455, 4.70223]], and the following given embeddings correspond to ""standing"": [[-5.972454, -3.2176538, -12.560256]]; classify the embedding [-17.47152,5.78674,10.686718] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""Standing"""
6,"The following given embeddings correspond to ""walking upstairs"": [[-1.3859091, 25.493225, 19.522823]], and the following given embeddings correspond to ""standing"": [[10.77988, 6.7889924, -15.644221]]; classify the embedding [-12.919419,25.662718,15.576942] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
7,"The following given embeddings correspond to ""walking upstairs"": [[-17.86232, 10.758809, 10.47529]], and the following given embeddings correspond to ""standing"": [[15.503964, 4.601669, -17.115257]]; classify the embedding [2.831927,24.231455,4.70223] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
8,"The following given embeddings correspond to ""walking upstairs"": [[-13.778849, 16.149841, 9.2445135]], and the following given embeddings correspond to ""standing"": [[-7.3013997, -9.352565, 2.677455]]; classify the embedding [-0.85438204,24.009857,6.6267843] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
9,"The following given embeddings correspond to ""walking upstairs"": [[-14.736061, 28.054409, 10.194424]], and the following given embeddings correspond to ""standing"": [[1.9999478, -5.563507, 1.4494921]]; classify the embedding [-7.4790974,12.2469015,6.197446] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
10,"The following given embeddings correspond to ""walking upstairs"": [[-36.29765, 8.302441, 9.638138]], and the following given embeddings correspond to ""standing"": [[17.994335, 0.37850705, -14.050938]]; classify the embedding [-8.464295,26.818647,18.636805] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
11,"The following given embeddings correspond to ""walking upstairs"": [[-6.4933124, 25.609537, 15.19953]], and the following given embeddings correspond to ""standing"": [[5.978492, 3.4504697, 5.9125147]]; classify the embedding [2.9541388,20.848558,8.822018] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
12,"The following given embeddings correspond to ""walking upstairs"": [[-25.636265, 16.845879, -3.5901318]], and the following given embeddings correspond to ""standing"": [[15.503964, 4.601669, -17.115257]]; classify the embedding [-20.703928,24.455555,10.535416] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
13,"The following given embeddings correspond to ""walking upstairs"": [[-15.568956, 16.413572, 3.8236015]], and the following given embeddings correspond to ""standing"": [[0.9884575, -6.3076444, -9.867937]]; classify the embedding [-13.778849,16.149841,9.2445135] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
14,"The following given embeddings correspond to ""walking upstairs"": [[-2.655232, 12.920911, 13.789426]], and the following given embeddings correspond to ""standing"": [[15.220691, 2.0256853, -7.235695]]; classify the embedding [1.2113004,13.412265,11.975846] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
15,"The following given embeddings correspond to ""walking upstairs"": [[-17.86232, 10.758809, 10.47529]], and the following given embeddings correspond to ""standing"": [[7.9937983, -2.9426782, 0.8742128]]; classify the embedding [1.5872319,19.578749,12.293827] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
16,"The following given embeddings correspond to ""walking upstairs"": [[-17.47152, 5.78674, 10.686718]], and the following given embeddings correspond to ""standing"": [[0.9997333, -4.575722, -14.870921]]; classify the embedding [-17.86232,10.758809,10.47529] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
17,"The following given embeddings correspond to ""walking upstairs"": [[-4.070419, 28.016699, 17.753014]], and the following given embeddings correspond to ""standing"": [[4.5424147, -0.7224984, -20.078089]]; classify the embedding [-0.22300349,21.214588,17.385635] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
18,"The following given embeddings correspond to ""walking upstairs"": [[1.8198892, 17.642588, 16.701843]], and the following given embeddings correspond to ""standing"": [[15.503964, 4.601669, -17.115257]]; classify the embedding [-10.590114,10.077792,4.5212865] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
19,"The following given embeddings correspond to ""walking upstairs"": [[-25.636265, 16.845879, -3.5901318]], and the following given embeddings correspond to ""standing"": [[7.567095, -1.1878417, -15.844596]]; classify the embedding [-1.3859091,25.493225,19.522823] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
20,"The following given embeddings correspond to ""walking upstairs"": [[-14.736061, 28.054409, 10.194424]], and the following given embeddings correspond to ""standing"": [[-3.485746, 2.5737724, -20.854017]]; classify the embedding [-10.550701,16.466503,7.744231] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
21,"The following given embeddings correspond to ""walking upstairs"": [[-7.3043337, 19.986658, 17.64818]], and the following given embeddings correspond to ""standing"": [[17.550638, 6.1270337, -11.851272]]; classify the embedding [-34.393894,11.074299,-0.70249826] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
22,"The following given embeddings correspond to ""walking upstairs"": [[-14.632012, 9.856647, 12.394716]], and the following given embeddings correspond to ""standing"": [[-14.962323, -13.811378, -6.6063495]]; classify the embedding [2.5303297,28.99192,9.666942] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
23,"The following given embeddings correspond to ""walking upstairs"": [[-0.75086665, 17.884275, 19.062141]], and the following given embeddings correspond to ""standing"": [[11.371021, -8.365734, -9.405746]]; classify the embedding [-4.070419,28.016699,17.753014] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
24,"The following given embeddings correspond to ""walking upstairs"": [[-0.75086665, 17.884275, 19.062141]], and the following given embeddings correspond to ""standing"": [[-2.3122034, -6.5505843, -3.7494836]]; classify the embedding [-18.84518,27.504421,9.981673] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
25,"The following given embeddings correspond to ""walking upstairs"": [[2.5303297, 28.99192, 9.666942]], and the following given embeddings correspond to ""standing"": [[6.8072324, -10.000723, -28.845335]]; classify the embedding [-4.890708,16.515228,16.329077] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
26,"The following given embeddings correspond to ""walking upstairs"": [[-18.076305, 25.70908, 6.2199993]], and the following given embeddings correspond to ""standing"": [[13.328048, 10.718023, -8.329817]]; classify the embedding [-20.591713,8.35281,9.296491] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
27,"The following given embeddings correspond to ""walking upstairs"": [[-6.5662766, 23.171757, 0.7822213]], and the following given embeddings correspond to ""standing"": [[7.567095, -1.1878417, -15.844596]]; classify the embedding [1.8198892,17.642588,16.701843] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs,"""walking upstairs"""
