embedding,labels
"4.984575,-7.9480915,-3.5507283",1
"4.8330703,-13.199865,-10.922664",1
"5.638721,-21.449514,-9.059744",2
"15.658072,-20.037493,12.535882",0
"-7.8814487,30.168257,15.18948",5
"19.076996,-18.584047,18.528343",0
"1.6629056,-14.944769,-9.389301",1
"2.6961985,-11.5463,-1.5831257",2
"13.120916,-9.839497,-12.56904",1
"-0.75086665,17.884275,19.062141",5
"-11.371615,12.379286,8.961847",5
"-20.669584,15.584278,-8.809808",3
"15.141907,-15.985944,26.143763",0
"-3.7815647,-9.439724,-4.8249083",2
"-4.4407454,-11.822107,1.2482523",1
"15.136404,-22.312557,23.051908",0
"11.119943,-13.664008,-8.7984",1
"-4.847855,32.09351,11.771234",4
"10.633195,-8.3229265,-4.8010845",1
"-15.85611,6.6703787,4.6685624",3
"4.259552,-6.4481025,-6.024914",2
"-7.3013997,-9.352565,2.677455",2
"4.6916614,-15.912269,-5.12729",1
"-4.655153,27.418484,1.0692061",5
"9.647483,-19.436436,-12.228969",1
"-6.5662766,23.171757,0.7822213",5
"-17.47152,5.78674,10.686718",5
"-0.5350169,-10.08412,-11.751626",1
"-10.6595125,-9.654195,-2.4062393",2
"0.6639308,2.045327,-7.7923994",1
"21.912903,-3.079948,29.638195",0
"-2.375156,-16.075346,1.4116664",2
"-12.919419,25.662718,15.576942",5
"4.825272,-17.332357,-12.668225",1
"-9.126173,-3.0107887,-4.4910307",1
"17.106823,-12.020165,15.8122",0
"23.202028,-5.012864,14.932692",0
"13.548493,-18.462288,-11.858764",2
"-16.74245,15.87389,-9.2917",3
"17.855606,-25.299982,10.751129",0
"19.323246,-8.085925,18.047684",0
"-29.371147,3.4555633,-3.3811762",3
"-26.97357,-1.1725367,-6.5537753",2
"4.1064754,-2.513109,-6.1237826",2
"0.9884575,-6.3076444,-9.867937",2
"2.831927,24.231455,4.70223",5
"-20.954802,-2.3936145,5.2838516",3
"29.876627,-24.61131,2.0555377",0
"-4.6333404,-16.045473,-1.7231832",2
"-7.755644,-14.161702,2.1727023",1
"8.521118,-12.196128,-13.063066",1
"-33.51316,6.0568004,5.8810205",4
"-37.686295,6.728633,4.8561525",4
"-3.92219,27.304241,21.651375",4
"-0.85438204,24.009857,6.6267843",5
